"",BBK01.OEAP03R,BBK01.OEAP03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:17:01,
2002-01,3.540,
2002-04,2.856,
2002-07,2.898,
2002-10,2.533,
2003-01,2.827,
2003-04,2.786,
2003-07,2.704,
2003-10,2.527,
2004-01,2.978,
2004-04,2.612,
2004-07,2.536,
2004-10,2.202,
2005-01,2.364,
2005-04,2.316,
2005-07,2.428,
2005-10,2.045,
2006-01,1.818,
2006-04,1.976,
2006-07,2.129,
2006-10,1.843,
2007-01,1.956,
2007-04,1.831,
2007-07,1.781,
2007-10,1.418,
2008-01,1.584,
2008-04,1.655,
2008-07,1.567,
2008-10,1.482,
2009-01,1.555,
2009-04,1.557,
2009-07,1.262,
2009-10,0.142,
2010-01,0.166,
2010-04,0.121,
2010-07,0.127,
2010-10,0.089,
2011-01,0.125,
2011-04,0.125,
2011-07,0.149,
2011-10,0.106,
2012-01,0.149,
2012-04,0.116,
2012-07,0.130,
2012-10,0.059,
2013-01,0.105,
2013-04,0.065,
2013-07,0.075,
2013-10,0.064,
2014-01,0.049,
2014-04,0.049,
2014-07,0.036,
