"",BBK01.OEBK06N,BBK01.OEBK06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:25,
2002-01,0.039,
2002-04,0.040,
2002-07,0.039,
2002-10,0.031,
2003-01,0.031,
2003-04,0.028,
2003-07,0.031,
2003-10,0.035,
2004-01,0.048,
2004-04,0.051,
2004-07,0.051,
2004-10,0.050,
2005-01,0.061,
2005-04,0.062,
2005-07,0.067,
2005-10,0.064,
2006-01,0.065,
2006-04,0.067,
2006-07,0.081,
2006-10,0.084,
2007-01,0.082,
2007-04,0.086,
2007-07,0.084,
2007-10,0.101,
2008-01,0.126,
2008-04,0.158,
2008-07,0.174,
2008-10,0.211,
2009-01,0.293,
2009-04,0.257,
2009-07,0.202,
2009-10,0.183,
2010-01,0.184,
2010-04,0.258,
2010-07,0.291,
2010-10,0.312,
2011-01,0.347,
2011-04,0.419,
2011-07,0.455,
2011-10,0.406,
2012-01,0.426,
2012-04,0.444,
2012-07,0.461,
2012-10,0.438,
2013-01,0.395,
2013-04,0.342,
2013-07,0.331,
2013-10,0.325,
2014-01,0.307,
2014-04,0.092,
2014-07,0.080,
