"",BBK01.OECK01J,BBK01.OECK01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:37,
2002-01,0.126,
2002-04,0.137,
2002-07,0.132,
2002-10,0.138,
2003-01,0.136,
2003-04,0.119,
2003-07,0.110,
2003-10,0.115,
2004-01,0.107,
2004-04,0.107,
2004-07,0.221,
2004-10,0.109,
2005-01,0.113,
2005-04,0.113,
2005-07,0.114,
2005-10,0.130,
2006-01,0.132,
2006-04,0.132,
2006-07,0.121,
2006-10,0.159,
2007-01,0.148,
2007-04,0.183,
2007-07,0.183,
2007-10,0.208,
2008-01,0.199,
2008-04,0.189,
2008-07,0.202,
2008-10,0.269,
2009-01,0.300,
2009-04,0.299,
2009-07,0.303,
2009-10,0.269,
2010-01,0.289,
2010-04,0.284,
2010-07,0.259,
2010-10,0.259,
2011-01,0.247,
2011-04,0.231,
2011-07,0.233,
2011-10,0.207,
2012-01,0.253,
2012-04,0.244,
2012-07,0.229,
2012-10,0.219,
2013-01,0.233,
2013-04,0.225,
2013-07,0.225,
2013-10,0.231,
2014-01,0.235,
2014-04,0.233,
2014-07,0.239,
