"",BBK01.WXI003,BBK01.WXI003_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:22,
2009-09,1143,
2009-10,1003,
2009-11,1273,
2009-12,838,
2010-01,1153,
2010-02,1147,
2010-03,1232,
2010-04,1159,
2010-05,2021,
2010-06,1371,
2010-07,1380,
2010-08,1353,
2010-09,1073,
2010-10,994,
2010-11,1285,
2010-12,901,
2011-01,1061,
2011-02,1046,
2011-03,1123,
2011-04,1214,
2011-05,1175,
2011-06,1681,
2011-07,1211,
2011-08,1492,
2011-09,2157,
2011-10,1769,
2011-11,1767,
2011-12,1393,
2012-01,1440,
2012-02,1337,
2012-03,1082,
2012-04,931,
2012-05,1275,
2012-06,976,
2012-07,1089,
2012-08,994,
2012-09,824,
2012-10,817,
2012-11,722,
2012-12,719,
2013-01,932,
2013-02,960,
2013-03,1066,
2013-04,1264,
2013-05,5633,
2013-06,1109,
2013-07,1047,
2013-08,1025,
2013-09,1413,
2013-10,962,
2013-11,1063,
2013-12,1624,
2014-01,1275,
2014-02,1164,
2014-03,852,
2014-04,6545,
2014-05,6840,
2014-06,1347,
2014-07,1183,
2014-08,1110,
2014-09,1485,
2014-10,996,
2014-11,1154,
