"",BBK01.OECB03J,BBK01.OECB03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:08,
2002-01,0.319,
2002-04,0.303,
2002-07,0.274,
2002-10,0.174,
2003-01,0.169,
2003-04,0.172,
2003-07,0.159,
2003-10,0.143,
2004-01,0.141,
2004-04,0.127,
2004-07,0.174,
2004-10,0.145,
2005-01,0.153,
2005-04,0.149,
2005-07,0.145,
2005-10,0.138,
2006-01,0.130,
2006-04,0.106,
2006-07,0.104,
2006-10,0.094,
2007-01,0.087,
2007-04,0.101,
2007-07,0.125,
2007-10,0.143,
2008-01,0.146,
2008-04,0.140,
2008-07,0.144,
2008-10,0.099,
2009-01,0.094,
2009-04,0.103,
2009-07,0.104,
2009-10,0.109,
2010-01,0.103,
2010-04,0.110,
2010-07,0.108,
2010-10,0.112,
2011-01,0.105,
2011-04,0.113,
2011-07,0.115,
2011-10,0.122,
2012-01,0.110,
2012-04,0.426,
2012-07,0.407,
2012-10,0.094,
2013-01,0.122,
2013-04,0.143,
2013-07,0.137,
2013-10,0.115,
2014-01,0.095,
2014-04,0.105,
2014-07,0.106,
