"",BBK01.CEB0Q1,BBK01.CEB0Q1_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:44,
1991-01,866.4,
1991-04,886.7,
1991-07,899.2,
1991-10,887.2,
1992-01,935.6,
1992-04,949.5,
1992-07,895.9,
1992-10,955.6,
1993-01,988.0,
1993-04,993.1,
1993-07,1020.9,
1993-10,1131.5,
1994-01,1135.3,
1994-04,1129.9,
1994-07,1138.1,
1994-10,1210.4,
1995-01,1222.7,
1995-04,1259.1,
1995-07,1303.8,
1995-10,1320.8,
1996-01,1353.2,
1996-04,1369.5,
1996-07,1394.8,
1996-10,1459.0,
1997-01,1533.6,
1997-04,1584.4,
1997-07,1666.5,
1997-10,1629.4,
1998-01,1811.2,
1998-04,1895.8,
1998-07,1739.5,
1998-10,1852.1,
1999-01,2032.8,
1999-04,2004.9,
1999-07,1954.7,
1999-10,2213.5,
2000-01,2242.1,
2000-04,2231.8,
2000-07,2267.6,
2000-10,2369.5,
2001-01,2271.7,
2001-04,2286.7,
2001-07,2181.6,
2001-10,2464.2,
2002-01,2461.7,
2002-04,2340.3,
2002-07,2006.3,
2002-10,1916.5,
2003-01,1858.0,
2003-04,1953.2,
2003-07,1946.2,
2003-10,2016.6,
2004-01,1968.5,
2004-04,2030.4,
2004-07,2019.8,
2004-10,2061.0,
2005-01,2072.9,
2005-04,2141.4,
2005-07,2195.9,
2005-10,2254.7,
2006-01,2095.7,
2006-04,2101.4,
2006-07,2204.3,
2006-10,2336.7,
2007-01,2428.6,
2007-04,2474.9,
2007-07,2521.7,
2007-10,2559.3,
2008-01,2457.4,
2008-04,2481.8,
2008-07,2477.1,
2008-10,2404.9,
2009-01,2363.7,
2009-04,2374.6,
2009-07,2453.4,
2009-10,2474.8,
2010-01,2527.6,
2010-04,2538.3,
2010-07,2526.5,
2010-10,2385.9,
2011-01,2408.8,
2011-04,2438.9,
2011-07,2253.7,
2011-10,2370.7,
2012-01,2481.5,
2012-04,2441.1,
2012-07,2529.6,
2012-10,2612.7,
2013-01,2658.0,
2013-04,2598.6,
2013-07,2701.7,
2013-10,2806.6,
2014-01,2765.9,
