"",BBK01.OELJ06U,BBK01.OELJ06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:55,
2002-01,0.019,
2002-04,0.018,
2002-07,0.020,
2002-10,0.016,
2003-01,0.016,
2003-04,0.015,
2003-07,0.015,
2003-10,0.015,
2004-01,0.014,
2004-04,0.013,
2004-07,0.013,
2004-10,0.013,
2005-01,0.014,
2005-04,0.014,
2005-07,0.016,
2005-10,0.014,
2006-01,0.019,
2006-04,0.019,
2006-07,0.020,
2006-10,0.015,
2007-01,0.016,
2007-04,0.020,
2007-07,0.023,
2007-10,0.023,
2008-01,0.023,
2008-04,0.025,
2008-07,0.022,
2008-10,0.025,
2009-01,0.024,
2009-04,0.021,
2009-07,0.024,
2009-10,0.022,
2010-01,0.021,
2010-04,0.023,
2010-07,0.030,
2010-10,0.033,
2011-01,0.047,
2011-04,0.047,
2011-07,0.047,
2011-10,0.046,
2012-01,0.040,
2012-04,0.037,
2012-07,0.037,
2012-10,0.033,
2013-01,0.077,
2013-04,0.078,
2013-07,0.077,
2013-10,0.077,
2014-01,0.080,
2014-04,0.077,
2014-07,0.076,
