"",BBK01.OEYK02J,BBK01.OEYK02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:53,
2002-01,0.049,
2002-04,0.051,
2002-07,0.044,
2002-10,0.064,
2003-01,0.052,
2003-04,0.063,
2003-07,0.052,
2003-10,0.073,
2004-01,0.054,
2004-04,0.056,
2004-07,0.065,
2004-10,0.088,
2005-01,0.082,
2005-04,0.085,
2005-07,0.079,
2005-10,0.087,
2006-01,0.084,
2006-04,0.069,
2006-07,0.069,
2006-10,0.069,
2007-01,0.083,
2007-04,0.112,
2007-07,0.088,
2007-10,0.087,
2008-01,0.073,
2008-04,0.086,
2008-07,0.068,
2008-10,0.068,
2009-01,0.113,
2009-04,0.101,
2009-07,0.111,
2009-10,0.132,
2010-01,0.141,
2010-04,0.136,
2010-07,0.138,
2010-10,0.140,
2011-01,0.148,
2011-04,0.149,
2011-07,0.145,
2011-10,0.133,
2012-01,0.158,
2012-04,0.158,
2012-07,0.167,
2012-10,0.176,
2013-01,0.167,
2013-04,0.170,
2013-07,0.161,
2013-10,0.168,
2014-01,0.173,
2014-04,0.183,
2014-07,0.180,
