"",BBSF2.M.1.P.00000.IMM01.I.F.BGG.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGG.Z5.00000.000000.Z01.00_FLAGS
2013-06,17986,
2013-07,17784,
2013-08,17796,
2013-09,17562,
2013-10,17310,
2013-11,17293,
2013-12,17329,
2014-01,17434,
2014-02,17427,
2014-03,17403,
2014-04,17101,
2014-05,16994,
2014-06,17201,
2014-07,17202,
2014-08,17279,
2014-09,17187,
2014-10,16901,
2014-11,16873,
