"",BBK01.OELM04T,BBK01.OELM04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:49,
2002-01,0.010,
2002-04,0.013,
2002-07,0.016,
2002-10,0.012,
2003-01,0.023,
2003-04,0.021,
2003-07,0.029,
2003-10,0.047,
2004-01,0.071,
2004-04,0.059,
2004-07,0.075,
2004-10,0.079,
2005-01,0.012,
2005-04,0.013,
2005-07,0.013,
2005-10,0.018,
2006-01,0.018,
2006-04,0.015,
2006-07,0.015,
2006-10,0.017,
2007-01,0.013,
2007-04,0.016,
2007-07,0.016,
2007-10,0.013,
2008-01,0.016,
2008-04,0.012,
2008-07,0.013,
2008-10,0.010,
2009-01,0.009,
2009-04,0.010,
2009-07,0.009,
2009-10,0.009,
2010-01,0.007,
2010-04,0.009,
2010-07,0.008,
2010-10,0.007,
2011-01,0.005,
2011-04,0.004,
2011-07,0.004,
2011-10,0.005,
2012-01,0.005,
2012-04,0.003,
2012-07,0.003,
2012-10,0.003,
2013-01,0.003,
2013-04,0.003,
2013-07,0.003,
2013-10,0.002,
2014-01,0.002,
2014-04,0.002,
2014-07,0.002,
