"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.FR.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.FR.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / France,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:39,
2009-09,17801,
2009-10,17421,
2009-11,18041,
2009-12,18991,
2010-01,18766,
2010-02,18712,
2010-03,19627,
2010-04,19455,
2010-05,18477,
2010-06,17964,
2010-07,18594,
2010-08,18241,
2010-09,18826,
2010-10,19083,
2010-11,18340,
2010-12,18867,
2011-01,19513,
2011-02,19557,
2011-03,19162,
2011-04,19539,
2011-05,19223,
2011-06,18996,
2011-07,18419,
2011-08,16640,
2011-09,16004,
2011-10,16625,
2011-11,15688,
2011-12,16012,
2012-01,16681,
2012-02,17335,
2012-03,16968,
2012-04,16539,
2012-05,16037,
2012-06,16538,
2012-07,17338,
2012-08,17507,
2012-09,17622,
2012-10,17809,
2012-11,18116,
2012-12,18510,
2013-01,18665,
2013-02,18602,
2013-03,18739,
2013-04,19462,
2013-05,19359,
2013-06,18847,
2013-07,19794,
2013-08,19724,
2013-09,20398,
2013-10,20818,
2013-11,21085,
2013-12,20861,
2014-01,20893,
2014-02,22128,
2014-03,21985,
2014-04,22347,
2014-05,22728,
2014-06,22969,
2014-07,22673,
2014-08,22671,
2014-09,22850,
2014-10,22499,
2014-11,23399,
