"",BBSF2.M.1.T.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds total / Net sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:14:41,
1950-01,-,Nothing exists
1950-02,-,Nothing exists
1950-03,-,Nothing exists
1950-04,-,Nothing exists
1950-05,-,Nothing exists
1950-06,-,Nothing exists
1950-07,-,Nothing exists
1950-08,-,Nothing exists
1950-09,1,
1950-10,-,Nothing exists
1950-11,-,Nothing exists
1950-12,0,
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,-,Nothing exists
1951-04,0,
1951-05,0,
1951-06,0,
1951-07,1,
1951-08,0,
1951-09,0,
1951-10,0,
1951-11,1,
1951-12,0,
1952-01,0,
1952-02,0,
1952-03,-,Nothing exists
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,-,Nothing exists
1952-07,0,
1952-08,0,
1952-09,0,
1952-10,0,
1952-11,0,
1952-12,-,Nothing exists
1953-01,-,Nothing exists
1953-02,-,Nothing exists
1953-03,-,Nothing exists
1953-04,-,Nothing exists
1953-05,0,
1953-06,0,
1953-07,0,
1953-08,0,
1953-09,1,
1953-10,0,
1953-11,0,
1953-12,-,Nothing exists
1954-01,-,Nothing exists
1954-02,-,Nothing exists
1954-03,-,Nothing exists
1954-04,0,
1954-05,-,Nothing exists
1954-06,-,Nothing exists
1954-07,0,
1954-08,0,
1954-09,1,
1954-10,0,
1954-11,-,Nothing exists
1954-12,-,Nothing exists
1955-01,1,
1955-02,1,
1955-03,2,
1955-04,3,
1955-05,1,
1955-06,1,
1955-07,1,
1955-08,1,
1955-09,1,
1955-10,0,
1955-11,1,
1955-12,0,
1956-01,1,
1956-02,0,
1956-03,5,
1956-04,12,
1956-05,4,
1956-06,4,
1956-07,3,
1956-08,2,
1956-09,3,
1956-10,2,
1956-11,8,
1956-12,15,
1957-01,7,
1957-02,6,
1957-03,7,
1957-04,5,
1957-05,5,
1957-06,5,
1957-07,8,
1957-08,8,
1957-09,12,
1957-10,9,
1957-11,12,
1957-12,12,
1958-01,18,
1958-02,12,
1958-03,14,
1958-04,11,
1958-05,7,
1958-06,12,
1958-07,18,
1958-08,20,
1958-09,23,
1958-10,51,
1958-11,65,
1958-12,6,
1959-01,40,
1959-02,13,
1959-03,4,
1959-04,3,
1959-05,10,
1959-06,54,
1959-07,26,
1959-08,59,
1959-09,-2,
1959-10,-1,
1959-11,14,
1959-12,18,
1960-01,99,
1960-02,23,
1960-03,5,
1960-04,-2,
1960-05,-10,
1960-06,-4,
1960-07,-6,
1960-08,16,
1960-09,9,
1960-10,9,
1960-11,20,
1960-12,14,
1961-01,16,
1961-02,7,
1961-03,8,
1961-04,6,
1961-05,10,
1961-06,10,
1961-07,10,
1961-08,-1,
1961-09,3,
1961-10,8,
1961-11,31,
1961-12,10,
1962-01,30,
1962-02,19,
1962-03,8,
1962-04,9,
1962-05,-2,
1962-06,7,
1962-07,8,
1962-08,7,
1962-09,3,
1962-10,4,
1962-11,12,
1962-12,11,
1963-01,9,
1963-02,6,
1963-03,5,
1963-04,7,
1963-05,6,
1963-06,5,
1963-07,13,
1963-08,8,
1963-09,7,
1963-10,8,
1963-11,12,
1963-12,15,
1964-01,21,
1964-02,18,
1964-03,16,
1964-04,13,
1964-05,12,
1964-06,13,
1964-07,13,
1964-08,10,
1964-09,7,
1964-10,16,
1964-11,26,
1964-12,25,
1965-01,22,
1965-02,30,
1965-03,23,
1965-04,15,
1965-05,10,
1965-06,11,
1965-07,14,
1965-08,16,
1965-09,12,
1965-10,10,
1965-11,16,
1965-12,16,
1966-01,33,
1966-02,32,
1966-03,20,
1966-04,12,
1966-05,10,
1966-06,5,
1966-07,8,
1966-08,10,
1966-09,9,
1966-10,7,
1966-11,12,
1966-12,17,
1967-01,14,
1967-02,20,
1967-03,15,
1967-04,14,
1967-05,11,
1967-06,12,
1967-07,15,
1967-08,24,
1967-09,16,
1967-10,17,
1967-11,47,
1967-12,43,
1968-01,55,
1968-02,42,
1968-03,46,
1968-04,57,
1968-05,49,
1968-06,53,
1968-07,74,
1968-08,84,
1968-09,62,
1968-10,75,
1968-11,105,
1968-12,149,
1969-01,261,
1969-02,247,
1969-03,177,
1969-04,108,
1969-05,144,
1969-06,148,
1969-07,221,
1969-08,119,
1969-09,90,
1969-10,182,
1969-11,127,
1969-12,171,
1970-01,155,
1970-02,102,
1970-03,77,
1970-04,59,
1970-05,20,
1970-06,66,
1970-07,63,
1970-08,76,
1970-09,52,
1970-10,35,
1970-11,87,
1970-12,102,
1971-01,101,
1971-02,88,
1971-03,88,
1971-04,71,
1971-05,56,
1971-06,75,
1971-07,82,
1971-08,76,
1971-09,71,
1971-10,66,
1971-11,117,
1971-12,149,
1972-01,174,
1972-02,249,
1972-03,188,
1972-04,221,
1972-05,141,
1972-06,270,
1972-07,236,
1972-08,272,
1972-09,172,
1972-10,161,
1972-11,232,
1972-12,206,
1973-01,224,
1973-02,221,
1973-03,144,
1973-04,122,
1973-05,61,
1973-06,73,
1973-07,61,
1973-08,75,
1973-09,35,
1973-10,62,
1973-11,130,
