"",BBFN1.M.DE.N.1.L.R12.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.R12.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Offshore banking centres,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:31:06,
1978-12,0.722,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,0.607,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,0.763,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,0.904,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,.,No value available
1982-10,.,No value available
1982-11,.,No value available
1982-12,0.911,
1983-01,0.919,
1983-02,0.839,
1983-03,0.831,
1983-04,0.885,
1983-05,0.917,
1983-06,0.881,
1983-07,0.883,
1983-08,0.873,
1983-09,0.868,
1983-10,0.771,
1983-11,0.774,
1983-12,0.827,
1984-01,0.840,
1984-02,0.900,
1984-03,0.912,
1984-04,0.915,
1984-05,0.829,
1984-06,0.822,
1984-07,0.823,
1984-08,0.875,
1984-09,0.920,
1984-10,0.905,
1984-11,0.933,
1984-12,1.076,
1985-01,1.139,
1985-02,1.135,
1985-03,1.174,
1985-04,1.202,
1985-05,1.188,
1985-06,1.199,
1985-07,1.174,
1985-08,1.121,
1985-09,1.123,
1985-10,1.102,
1985-11,1.243,
1985-12,1.177,
1986-01,1.182,
1986-02,1.192,
1986-03,1.176,
1986-04,1.152,
1986-05,1.142,
1986-06,1.209,
1986-07,1.270,
1986-08,1.296,
1986-09,1.271,
1986-10,1.304,
1986-11,1.324,
1986-12,1.251,
1987-01,1.634,
1987-02,1.621,
1987-03,2.137,
1987-04,2.128,
1987-05,2.165,
1987-06,2.169,
1987-07,2.151,
1987-08,2.199,
1987-09,2.250,
1987-10,2.248,
1987-11,2.248,
1987-12,2.264,
1988-01,2.360,
1988-02,2.335,
1988-03,2.333,
1988-04,2.621,
1988-05,2.617,
1988-06,2.587,
1988-07,2.587,
1988-08,2.602,
1988-09,2.505,
1988-10,2.433,
1988-11,2.378,
1988-12,1.689,
1989-01,1.359,
1989-02,0.523,
1989-03,0.524,
1989-04,0.516,
1989-05,0.493,
1989-06,0.497,
1989-07,0.567,
1989-08,0.571,
1989-09,0.582,
1989-10,0.609,
1989-11,0.606,
1989-12,0.616,
1990-01,0.668,
1990-02,0.675,
1990-03,0.681,
1990-04,0.684,
1990-05,0.726,
1990-06,0.722,
1990-07,0.783,
1990-08,0.748,
1990-09,0.830,
1990-10,0.828,
1990-11,0.864,
1990-12,0.878,
1991-01,0.898,
1991-02,0.967,
1991-03,0.971,
1991-04,0.977,
1991-05,1.029,
1991-06,1.045,
1991-07,1.070,
1991-08,1.080,
1991-09,1.094,
1991-10,1.149,
1991-11,1.139,
1991-12,1.143,
1992-01,1.150,
1992-02,1.321,
1992-03,1.339,
1992-04,1.335,
1992-05,1.299,
1992-06,1.238,
1992-07,1.284,
1992-08,1.146,
1992-09,1.201,
1992-10,1.173,
1992-11,1.134,
1992-12,1.199,
1993-01,1.244,
1993-02,1.287,
1993-03,1.285,
1993-04,1.298,
1993-05,1.301,
1993-06,1.242,
1993-07,1.356,
1993-08,1.479,
1993-09,1.482,
1993-10,1.467,
1993-11,1.433,
1993-12,1.453,
1994-01,1.437,
1994-02,1.431,
1994-03,1.484,
1994-04,1.513,
1994-05,1.461,
1994-06,1.507,
1994-07,1.550,
1994-08,1.560,
1994-09,1.465,
1994-10,1.505,
1994-11,1.488,
1994-12,1.532,
1995-01,1.849,
1995-02,1.881,
1995-03,1.847,
1995-04,1.809,
1995-05,1.841,
1995-06,1.826,
1995-07,1.787,
1995-08,1.780,
1995-09,2.369,
1995-10,2.837,
1995-11,3.029,
1995-12,2.965,
1996-01,3.047,
1996-02,3.140,
1996-03,3.133,
1996-04,3.188,
1996-05,3.216,
1996-06,3.238,
1996-07,3.309,
1996-08,3.314,
1996-09,3.308,
1996-10,3.210,
1996-11,3.228,
1996-12,3.274,
1997-01,3.344,
1997-02,3.266,
1997-03,3.386,
1997-04,3.551,
1997-05,3.447,
1997-06,3.476,
1997-07,3.574,
1997-08,3.604,
1997-09,3.652,
1997-10,3.634,
1997-11,3.583,
1997-12,3.602,
1998-01,3.712,
