"",BBEX3.M.TRY.EUR.CA.AB.A01,BBEX3.M.TRY.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Turkey / EUR 1 = TRY ... (selling),
unit,TRY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:34,
2005-01,1.7404,
2005-02,1.7067,
2005-03,1.7843,
2005-04,1.7823,
2005-05,1.7159,
2005-06,1.6245,
2005-07,1.6137,
2005-08,1.6707,
2005-09,1.6239,
2005-10,1.6424,
2005-11,1.6024,
2005-12,1.5981,
2006-01,1.6049,
2006-02,1.5616,
2006-03,1.6289,
2006-04,1.6489,
2006-05,1.9843,
2006-06,2.0192,
2006-07,1.9062,
2006-08,1.8910,
2006-09,1.9063,
2006-10,1.8539,
2006-11,1.9304,
2006-12,1.8676,
2007-01,1.8521,
2007-02,1.8486,
2007-03,1.8579,
2007-04,1.8173,
2007-05,1.7887,
2007-06,1.7781,
2007-07,1.7863,
2007-08,1.8109,
2007-09,1.7212,
2007-10,1.7159,
2007-11,1.7549,
2007-12,1.7184,
2008-01,1.7423,
2008-02,1.7858,
2008-03,2.0253,
2008-04,1.9990,
2008-05,1.9016,
2008-06,1.9364,
2008-07,1.8570,
2008-08,1.7538,
2008-09,1.8065,
2008-10,1.9682,
2008-11,2.0313,
2008-12,2.1511,
2009-01,2.1186,
2009-02,2.1545,
2009-03,2.2365,
2009-04,2.1215,
2009-05,2.1759,
2009-06,2.1573,
2009-07,2.0878,
2009-08,2.1483,
2009-09,2.1707,
2009-10,2.2161,
2009-11,2.2405,
2009-12,2.1707,
2010-01,2.0918,
2010-02,2.0874,
2010-03,2.0622,
2010-04,1.9696,
2010-05,1.9309,
2010-06,1.9310,
2010-07,1.9739,
2010-08,1.9361,
2010-09,1.9849,
2010-10,1.9841,
2010-11,1.9719,
2010-12,2.0590,
2011-01,2.1821,
2011-02,2.2054,
2011-03,2.1921,
2011-04,2.2488,
2011-05,2.2879,
2011-06,2.3605,
2011-07,2.4043,
2011-08,2.5307,
2011-09,2.5278,
2011-10,2.4673,
2011-11,2.4753,
2011-12,2.4711,
2012-01,2.3509,
2012-02,2.3616,
2012-03,2.3668,
2012-04,2.3285,
2012-05,2.2904,
2012-06,2.2699,
2012-07,2.2194,
2012-08,2.2792,
2012-09,2.3040,
2012-10,2.3328,
2012-11,2.3219,
2012-12,2.3630,
2013-01,2.3920,
2013-02,2.3669,
2013-03,2.3248,
2013-04,2.3543,
2013-05,2.4252,
2013-06,2.5154,
2013-07,2.5585,
2013-08,2.6978,
2013-09,2.7533,
2013-10,2.7410,
2013-11,2.7473,
2013-12,2.9418,
2014-01,3.1058,
2014-02,3.0563,
2014-03,3.0126,
2014-04,2.9403,
2014-05,2.8527,
2014-06,2.8971,
2014-07,2.8185,
2014-08,2.8580,
2014-09,2.8966,
2014-10,2.7952,
2014-11,2.7694,
2014-12,2.8258,
2015-01,2.7185,
"","General: Currency conversion effective from 1 January 2005: 1,000,000 Turkish lira (TRL) = 1 New Turkish lira (TRY), designated as Turkish lira (TRY) since 1 January 2009.",
"","Source: Central Bank of Turkey, Ankara.",
