"",BBK01.OEXL07O,BBK01.OEXL07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:29,
2002-01,-24.517,
2002-04,-24.885,
2002-07,-25.121,
2002-10,-28.002,
2003-01,-29.488,
2003-04,-29.874,
2003-07,-30.533,
2003-10,-32.734,
2004-01,-33.839,
2004-04,-34.193,
2004-07,-34.335,
2004-10,-35.155,
2005-01,0.675,
2005-04,0.681,
2005-07,0.656,
2005-10,0.669,
2006-01,0.668,
2006-04,0.645,
2006-07,0.628,
2006-10,0.663,
2007-01,0.792,
2007-04,0.843,
2007-07,0.895,
2007-10,1.004,
2008-01,1.046,
2008-04,1.041,
2008-07,1.060,
2008-10,1.332,
2009-01,1.300,
2009-04,1.287,
2009-07,1.339,
2009-10,1.233,
2010-01,1.095,
2010-04,1.066,
2010-07,1.034,
2010-10,1.194,
2011-01,1.325,
2011-04,1.331,
2011-07,1.335,
2011-10,1.290,
2012-01,1.195,
2012-04,1.198,
2012-07,1.166,
2012-10,1.090,
2013-01,0.995,
2013-04,0.924,
2013-07,0.900,
2013-10,0.892,
2014-01,0.875,
2014-04,0.853,
2014-07,0.944,
