"",BBK01.OECK03K,BBK01.OECK03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:51,
2002-01,0.291,
2002-04,0.271,
2002-07,0.326,
2002-10,0.370,
2003-01,0.266,
2003-04,0.237,
2003-07,0.200,
2003-10,0.168,
2004-01,0.170,
2004-04,0.200,
2004-07,0.188,
2004-10,0.846,
2005-01,0.736,
2005-04,0.710,
2005-07,0.706,
2005-10,0.475,
2006-01,0.458,
2006-04,0.421,
2006-07,0.549,
2006-10,0.468,
2007-01,0.492,
2007-04,0.584,
2007-07,0.645,
2007-10,0.726,
2008-01,0.751,
2008-04,0.757,
2008-07,0.829,
2008-10,0.669,
2009-01,0.507,
2009-04,0.718,
2009-07,0.650,
2009-10,0.528,
2010-01,0.453,
2010-04,0.416,
2010-07,0.444,
2010-10,0.463,
2011-01,0.476,
2011-04,0.450,
2011-07,0.463,
2011-10,0.438,
2012-01,0.423,
2012-04,0.391,
2012-07,0.358,
2012-10,0.294,
2013-01,0.247,
2013-04,0.229,
2013-07,0.226,
2013-10,0.201,
2014-01,0.194,
2014-04,0.179,
2014-07,0.148,
