"",BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:07,
1991-01,17.538,
1991-04,446.458,
1991-07,481.701,
1991-10,290.417,
1992-01,846.293,
1992-04,163.307,
1992-07,244.877,
1992-10,359.810,
1993-01,759.892,
1993-04,465.210,
1993-07,341.492,
1993-10,594.267,
1994-01,698.049,
1994-04,831.392,
1994-07,1766.066,
1994-10,616.039,
1995-01,515.918,
1995-04,686.677,
1995-07,-308.532,
1995-10,156.738,
1996-01,206.310,
1996-04,220.245,
1996-07,186.572,
1996-10,166.535,
1997-01,230.082,
1997-04,469.055,
1997-07,480.866,
1997-10,355.783,
1998-01,504.653,
1998-04,961.774,
1998-07,663.303,
1998-10,799.831,
1999-01,2094.632,
1999-04,968.400,
1999-07,1115.431,
1999-10,240.822,
2000-01,-315.831,
2000-04,-714.132,
2000-07,754.614,
2000-10,-428.491,
2001-01,-602.291,
2001-04,53.011,
2001-07,593.904,
2001-10,246.849,
2002-01,121.312,
2002-04,408.004,
2002-07,262.376,
2002-10,-478.175,
2003-01,-29.251,
2003-04,7.386,
2003-07,-399.458,
2003-10,1175.784,
2004-01,454.778,
2004-04,-1183.413,
2004-07,-977.185,
2004-10,-617.306,
2005-01,-357.271,
2005-04,-818.713,
2005-07,102.927,
2005-10,-44.570,
2006-01,2190.785,
2006-04,1781.234,
2006-07,1198.512,
2006-10,727.051,
2007-01,1203.446,
2007-04,1298.804,
2007-07,1516.060,
2007-10,4659.235,
2008-01,285.142,
2008-04,1509.249,
2008-07,1053.979,
2008-10,-364.934,
2009-01,239.017,
2009-04,-434.022,
2009-07,-737.370,
2009-10,147.847,
2010-01,1500.828,
2010-04,-676.380,
2010-07,496.997,
2010-10,-3768.014,
2011-01,-1466.828,
2011-04,-2.485,
2011-07,687.674,
2011-10,-42.599,
2012-01,14.336,
2012-04,-945.035,
2012-07,-1746.473,
2012-10,-645.102,
2013-01,-444.247,
2013-04,-396.208,
2013-07,-490.400,
2013-10,-1073.114,
2014-01,88.124,Provisional value
2014-04,236.269,Provisional value
2014-07,1569.165,Provisional value
2014-10,-1177.127,Provisional value
