"",BBFB1.Q.N.DE.F1.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:01,
1991-01,71.431,
1991-04,435.826,
1991-07,319.127,
1991-10,-33.640,
1992-01,479.260,
1992-04,-256.689,
1992-07,3.386,
1992-10,207.852,
1993-01,152.738,
1993-04,132.826,
1993-07,-210.304,
1993-10,264.659,
1994-01,445.605,
1994-04,-205.653,
1994-07,138.475,
1994-10,-100.200,
1995-01,170.004,
1995-04,163.553,
1995-07,119.950,
1995-10,417.526,
1996-01,-4.451,
1996-04,285.492,
1996-07,394.453,
1996-10,116.478,
1997-01,237.667,
1997-04,1078.060,
1997-07,868.144,
1997-10,-158.621,
1998-01,281.457,
1998-04,-416.195,
1998-07,220.475,
1998-10,-92.581,
1999-01,731.848,
1999-04,309.820,
1999-07,643.322,
1999-10,-38.913,
2000-01,1144.071,
2000-04,122.056,
2000-07,984.655,
2000-10,243.817,
2001-01,1508.274,
2001-04,56.199,
2001-07,-456.005,
2001-10,590.342,
2002-01,-195.647,
2002-04,-110.657,
2002-07,820.408,
2002-10,-457.315,
2003-01,1183.300,
2003-04,933.292,
2003-07,1205.909,
2003-10,1212.530,
2004-01,1572.713,
2004-04,1742.804,
2004-07,766.427,
2004-10,2335.074,
2005-01,2321.543,
2005-04,1773.090,
2005-07,3108.075,
2005-10,5765.907,
2006-01,2989.731,
2006-04,-191.599,
2006-07,1166.898,
2006-10,4084.752,
2007-01,-292.951,
2007-04,794.689,
2007-07,3900.627,
2007-10,-22.668,
2008-01,2008.450,
2008-04,3418.809,
2008-07,3673.023,
2008-10,-5055.421,
2009-01,-350.160,
2009-04,2561.118,
2009-07,2452.403,
2009-10,1624.470,
2010-01,2534.686,
2010-04,2175.469,
2010-07,1809.330,
2010-10,1010.685,
2011-01,439.871,
2011-04,1333.287,
2011-07,236.447,
2011-10,-1443.052,
2012-01,2377.195,
2012-04,-178.949,
2012-07,-30.186,
2012-10,-601.250,
2013-01,2785.749,
2013-04,924.301,
2013-07,-780.174,
2013-10,-5653.324,
2014-01,222.769,Provisional value
2014-04,774.619,Provisional value
2014-07,3211.159,Provisional value
2014-10,-1161.817,Provisional value
