"",BBK01.OEXJ10I,BBK01.OEXJ10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:19,
2002-01,0.051,
2002-04,0.051,
2002-07,0.051,
2002-10,0.048,
2003-01,0.047,
2003-04,0.047,
2003-07,0.048,
2003-10,0.052,
2004-01,0.090,
2004-04,0.155,
2004-07,0.129,
2004-10,0.135,
2005-01,0.132,
2005-04,0.121,
2005-07,0.121,
2005-10,0.120,
2006-01,0.125,
2006-04,0.110,
2006-07,0.104,
2006-10,0.102,
2007-01,0.098,
2007-04,0.095,
2007-07,0.093,
2007-10,0.091,
2008-01,0.092,
2008-04,0.090,
2008-07,0.089,
2008-10,0.084,
2009-01,0.085,
2009-04,0.084,
2009-07,0.084,
2009-10,0.084,
2010-01,0.082,
2010-04,0.082,
2010-07,0.079,
2010-10,0.078,
2011-01,0.074,
2011-04,0.015,
2011-07,0.015,
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
