"",BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:30,
1991-01,12.296,
1991-04,-105.699,
1991-07,-11.018,
1991-10,23.828,
1992-01,2.864,
1992-04,5.424,
1992-07,-19.660,
1992-10,111.785,
1993-01,-26.878,
1993-04,26.732,
1993-07,56.493,
1993-10,13.187,
1994-01,4.614,
1994-04,35.401,
1994-07,-45.484,
1994-10,17.193,
1995-01,26.029,
1995-04,78.921,
1995-07,14.764,
1995-10,22.892,
1996-01,77.827,
1996-04,-54.733,
1996-07,20.225,
1996-10,45.575,
1997-01,24.566,
1997-04,22.314,
1997-07,524.489,
1997-10,603.284,
1998-01,-125.993,
1998-04,-12.132,
1998-07,-20.244,
1998-10,71.458,
1999-01,115.772,
1999-04,-794.895,
1999-07,-38.392,
1999-10,-79.350,
2000-01,-123.070,
2000-04,-93.911,
2000-07,-326.674,
2000-10,-1.155,
2001-01,-165.846,
2001-04,33.763,
2001-07,-102.790,
2001-10,313.300,
2002-01,-19.030,
2002-04,113.000,
2002-07,-64.179,
2002-10,161.775,
2003-01,221.793,
2003-04,187.413,
2003-07,-175.094,
2003-10,105.177,
2004-01,-76.382,
2004-04,61.200,
2004-07,133.605,
2004-10,-60.486,
2005-01,-284.145,
2005-04,114.373,
2005-07,-188.062,
2005-10,-92.106,
2006-01,-142.591,
2006-04,89.228,
2006-07,-101.577,
2006-10,-80.333,
2007-01,-66.443,
2007-04,45.831,
2007-07,-65.938,
2007-10,-65.178,
2008-01,-217.882,
2008-04,-253.963,
2008-07,558.636,
2008-10,-813.621,
2009-01,277.075,
2009-04,-1109.534,
2009-07,-109.487,
2009-10,71.827,
2010-01,127.515,
2010-04,107.986,
2010-07,-64.443,
2010-10,-134.227,
2011-01,241.868,
2011-04,38.551,
2011-07,-2.898,
2011-10,-192.468,
2012-01,-266.751,
2012-04,-76.915,
2012-07,128.249,
2012-10,-39.396,
2013-01,-121.578,
2013-04,-765.609,
2013-07,-208.089,
2013-10,-50.925,
2014-01,-16.208,Provisional value
2014-04,-111.033,Provisional value
2014-07,-200.399,Provisional value
2014-10,-438.048,Provisional value
