"",BBK01.OEGI02I,BBK01.OEGI02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:07,
2002-01,4.563,
2002-04,4.478,
2002-07,4.269,
2002-10,4.762,
2003-01,4.550,
2003-04,4.632,
2003-07,8.598,
2003-10,8.821,
2004-01,8.796,
2004-04,9.070,
2004-07,8.755,
2004-10,9.126,
2005-01,9.799,
2005-04,9.271,
2005-07,9.269,
2005-10,9.315,
2006-01,9.912,
2006-04,9.981,
2006-07,10.987,
2006-10,7.105,
2007-01,6.757,
2007-04,7.614,
2007-07,7.419,
2007-10,7.189,
2008-01,6.878,
2008-04,8.319,
2008-07,7.268,
2008-10,8.199,
2009-01,10.160,
2009-04,10.678,
2009-07,13.205,
2009-10,10.945,
2010-01,12.824,
2010-04,12.422,
2010-07,12.106,
2010-10,12.180,
2011-01,11.914,
2011-04,12.568,
2011-07,13.599,
2011-10,12.547,
2012-01,13.352,
2012-04,13.495,
2012-07,13.109,
2012-10,14.299,
2013-01,14.572,
2013-04,16.196,
2013-07,14.509,
2013-10,15.026,
2014-01,14.594,
2014-04,15.881,
2014-07,16.264,
