"",BBK01.OEAH86V,BBK01.OEAH86V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:16,
2002-01,0.061,
2002-04,0.148,
2002-07,0.065,
2002-10,0.071,
2003-01,0.078,
2003-04,0.115,
2003-07,0.127,
2003-10,0.153,
2004-01,0.143,
2004-04,0.159,
2004-07,0.255,
2004-10,0.196,
2005-01,0.169,
2005-04,0.240,
2005-07,0.183,
2005-10,0.175,
2006-01,0.178,
2006-04,0.168,
2006-07,0.180,
2006-10,0.201,
2007-01,0.207,
2007-04,0.203,
2007-07,0.278,
2007-10,0.202,
2008-01,0.342,
2008-04,0.093,
2008-07,0.109,
2008-10,0.117,
2009-01,0.130,
2009-04,0.144,
2009-07,0.155,
2009-10,0.165,
2010-01,0.168,
2010-04,0.167,
2010-07,0.170,
2010-10,0.186,
2011-01,0.192,
2011-04,0.211,
2011-07,0.211,
2011-10,0.222,
2012-01,0.219,
2012-04,0.304,
2012-07,0.338,
2012-10,0.277,
2013-01,0.265,
2013-04,0.289,
2013-07,0.309,
2013-10,0.298,
2014-01,0.324,
2014-04,0.326,
2014-07,0.348,
