"",BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:43,
1991-01,56.381,
1991-04,146.801,
1991-07,14.752,
1991-10,208.606,
1992-01,97.405,
1992-04,258.195,
1992-07,67.030,
1992-10,94.503,
1993-01,13.576,
1993-04,93.024,
1993-07,285.290,
1993-10,110.234,
1994-01,733.971,
1994-04,435.039,
1994-07,1075.503,
1994-10,533.928,
1995-01,-9.227,
1995-04,66.628,
1995-07,65.677,
1995-10,361.303,
1996-01,-111.729,
1996-04,14.969,
1996-07,-351.922,
1996-10,-141.974,
1997-01,-437.932,
1997-04,-222.088,
1997-07,-234.053,
1997-10,114.957,
1998-01,-102.167,
1998-04,-62.864,
1998-07,261.221,
1998-10,74.276,
1999-01,705.266,
1999-04,110.931,
1999-07,129.451,
1999-10,-24.796,
2000-01,-544.470,
2000-04,-231.373,
2000-07,-66.045,
2000-10,-234.341,
2001-01,-559.476,
2001-04,-352.699,
2001-07,-183.217,
2001-10,-8.544,
2002-01,264.754,
2002-04,33.398,
2002-07,-43.763,
2002-10,103.130,
2003-01,117.195,
2003-04,-50.195,
2003-07,30.657,
2003-10,15.010,
2004-01,207.580,
2004-04,43.197,
2004-07,8.395,
2004-10,54.043,
2005-01,-1592.056,
2005-04,128.104,
2005-07,505.743,
2005-10,400.155,
2006-01,346.617,
2006-04,76.376,
2006-07,-166.159,
2006-10,-167.689,
2007-01,226.670,
2007-04,155.263,
2007-07,229.300,
2007-10,-34.089,
2008-01,101.529,
2008-04,168.859,
2008-07,732.106,
2008-10,-113.856,
2009-01,28.880,
2009-04,-30.772,
2009-07,-205.558,
2009-10,-38.501,
2010-01,154.786,
2010-04,-35.501,
2010-07,-241.776,
2010-10,-40.005,
2011-01,-161.235,
2011-04,-238.584,
2011-07,-264.681,
2011-10,-144.671,
2012-01,-162.388,
2012-04,-162.792,
2012-07,-494.401,
2012-10,216.047,
2013-01,-209.996,
2013-04,-104.738,
2013-07,-19.712,
2013-10,-192.951,
2014-01,43.762,Provisional value
2014-04,-324.980,Provisional value
2014-07,235.790,Provisional value
2014-10,141.283,Provisional value
