"",BBK01.OEBB07I,BBK01.OEBB07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:50,
2002-01,2.808,
2002-04,2.849,
2002-07,2.833,
2002-10,2.642,
2003-01,2.452,
2003-04,2.954,
2003-07,2.073,
2003-10,2.059,
2004-01,1.960,
2004-04,1.945,
2004-07,1.900,
2004-10,2.153,
2005-01,2.480,
2005-04,2.539,
2005-07,2.650,
2005-10,2.301,
2006-01,2.317,
2006-04,2.324,
2006-07,2.184,
2006-10,2.375,
2007-01,2.339,
2007-04,2.367,
2007-07,2.437,
2007-10,2.269,
2008-01,2.361,
2008-04,2.589,
2008-07,2.697,
2008-10,2.855,
2009-01,2.843,
2009-04,2.787,
2009-07,2.766,
2009-10,2.858,
2010-01,2.918,
2010-04,2.900,
2010-07,3.021,
2010-10,2.978,
2011-01,2.938,
2011-04,2.942,
2011-07,2.914,
2011-10,2.788,
2012-01,2.864,
2012-04,2.709,
2012-07,2.795,
2012-10,2.779,
2013-01,2.787,
2013-04,3.255,
2013-07,3.258,
2013-10,3.025,
2014-01,2.733,
2014-04,2.374,
2014-07,2.363,
