"",BBK01.OEAC23K,BBK01.OEAC23K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:08,
2002-01,0.524,
2002-04,0.820,
2002-07,0.595,
2002-10,0.932,
2003-01,0.511,
2003-04,0.713,
2003-07,0.533,
2003-10,1.035,
2004-01,0.430,
2004-04,0.664,
2004-07,0.680,
2004-10,0.312,
2005-01,0.289,
2005-04,0.268,
2005-07,0.294,
2005-10,0.376,
2006-01,0.340,
2006-04,0.491,
2006-07,0.493,
2006-10,0.405,
2007-01,0.465,
2007-04,0.443,
2007-07,0.480,
2007-10,0.530,
2008-01,0.652,
2008-04,0.702,
2008-07,0.589,
2008-10,1.385,
2009-01,1.357,
2009-04,1.612,
2009-07,1.560,
2009-10,1.062,
2010-01,2.044,
2010-04,1.916,
2010-07,1.927,
2010-10,1.635,
2011-01,1.570,
2011-04,1.506,
2011-07,1.543,
2011-10,2.109,
2012-01,2.419,
2012-04,2.899,
2012-07,1.949,
2012-10,2.098,
2013-01,2.186,
2013-04,2.857,
2013-07,2.139,
2013-10,2.328,
2014-01,2.404,
2014-04,2.532,
2014-07,2.496,
