"",BBFN1.M.DE.N.1.L.IT.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
1999-11,0.085,
1999-12,0.096,
2000-01,0.090,
2000-02,0.094,
2000-03,0.096,
2000-04,0.096,
2000-05,0.096,
2000-06,0.098,
2000-07,0.097,
2000-08,0.097,
2000-09,0.090,
2000-10,0.062,
2000-11,0.058,
2000-12,0.049,
2001-01,0.074,
2001-02,0.099,
2001-03,0.100,
2001-04,0.149,
2001-05,0.137,
2001-06,0.094,
2001-07,0.257,
2001-08,0.078,
2001-09,0.093,
2001-10,0.074,
2001-11,0.074,
2001-12,0.078,
2002-01,0.078,
2002-02,0.079,
2002-03,0.078,
2002-04,0.078,
2002-05,0.079,
2002-06,0.078,
2002-07,0.474,
2002-08,0.610,
2002-09,0.605,
2002-10,0.613,
2002-11,0.620,
2002-12,0.636,
2003-01,0.636,
2003-02,0.208,
2003-03,0.195,
2003-04,0.417,
2003-05,0.538,
2003-06,0.538,
2003-07,0.564,
2003-08,0.567,
2003-09,0.537,
2003-10,0.445,
2003-11,0.449,
2003-12,0.469,
2004-01,0.449,
2004-02,0.449,
2004-03,0.451,
2004-04,0.452,
2004-05,0.468,
2004-06,0.466,
2004-07,0.487,
2004-08,0.510,
2004-09,0.510,
2004-10,0.509,
2004-11,0.509,
2004-12,0.509,
2005-01,0.547,
2005-02,0.833,
2005-03,0.833,
2005-04,0.831,
2005-05,0.831,
2005-06,0.829,
2005-07,0.868,
2005-08,0.863,
2005-09,0.863,
2005-10,0.870,
2005-11,0.876,
2005-12,0.799,
2006-01,0.796,
2006-02,0.770,
2006-03,0.771,
2006-04,0.774,
2006-05,0.774,
2006-06,0.751,
2006-07,0.755,
2006-08,0.807,
2006-09,0.807,
2006-10,0.388,
2006-11,0.403,
2006-12,0.443,
2007-01,0.429,
2007-02,0.458,
2007-03,0.458,
2007-04,0.457,
2007-05,0.455,
2007-06,0.556,
2007-07,0.573,
2007-08,1.202,
2007-09,1.106,
2007-10,1.096,
2007-11,1.092,
2007-12,1.089,
2008-01,1.053,
2008-02,1.693,
2008-03,1.501,
2008-04,1.499,
2008-05,1.558,
2008-06,1.694,
2008-07,1.644,
2008-08,1.623,
2008-09,1.597,
2008-10,1.534,
2008-11,1.536,
2008-12,1.514,
2009-01,1.514,
2009-02,1.521,
2009-03,1.277,
2009-04,1.276,
2009-05,1.347,
2009-06,1.291,
2009-07,1.281,
2009-08,1.767,
2009-09,1.778,
2009-10,1.766,
2009-11,1.816,
2009-12,1.390,
2010-01,1.386,
2010-02,1.382,
2010-03,1.305,
2010-04,1.305,
2010-05,1.172,
2010-06,1.181,
2010-07,1.226,
2010-08,1.250,
2010-09,1.228,
2010-10,1.225,
2010-11,1.213,
2010-12,2.778,
2011-01,2.793,
2011-02,2.792,
2011-03,2.788,
2011-04,2.807,
2011-05,2.763,
2011-06,2.648,
2011-07,2.734,
2011-08,2.703,
2011-09,2.726,
2011-10,2.732,
2011-11,2.383,
2011-12,2.359,
2012-01,2.343,
2012-02,2.351,
2012-03,2.379,
2012-04,2.374,
2012-05,2.349,
2012-06,2.225,
2012-07,2.205,
2012-08,2.008,
2012-09,2.016,
2012-10,2.018,
2012-11,1.913,
2012-12,1.375,
2013-01,1.335,
2013-02,0.741,
2013-03,0.694,
2013-04,0.689,
2013-05,0.687,
2013-06,0.433,
2013-07,0.401,
2013-08,0.375,
2013-09,0.372,
2013-10,0.304,
2013-11,0.307,
2013-12,0.306,
2014-01,0.307,
2014-02,0.312,
2014-03,0.309,
2014-04,0.304,
2014-05,0.304,
2014-06,0.299,
2014-07,0.349,
2014-08,0.350,
2014-09,0.349,
2014-10,0.339,
2014-11,0.339,
2014-12,0.293,
