"",BBK01.OEYB07O,BBK01.OEYB07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:40,
2002-01,4.236,
2002-04,4.155,
2002-07,4.102,
2002-10,4.272,
2003-01,4.139,
2003-04,4.052,
2003-07,4.109,
2003-10,4.270,
2004-01,4.159,
2004-04,3.996,
2004-07,3.877,
2004-10,3.717,
2005-01,3.689,
2005-04,3.714,
2005-07,3.674,
2005-10,3.458,
2006-01,3.466,
2006-04,3.461,
2006-07,3.483,
2006-10,3.559,
2007-01,3.492,
2007-04,3.759,
2007-07,3.980,
2007-10,4.021,
2008-01,3.941,
2008-04,3.867,
2008-07,3.294,
2008-10,3.204,
2009-01,3.026,
2009-04,3.161,
2009-07,3.294,
2009-10,3.729,
2010-01,4.025,
2010-04,4.480,
2010-07,4.776,
2010-10,4.974,
2011-01,5.277,
2011-04,5.792,
2011-07,6.236,
2011-10,5.978,
2012-01,6.267,
2012-04,6.301,
2012-07,6.111,
2012-10,5.979,
2013-01,5.600,
2013-04,5.441,
2013-07,5.977,
2013-10,5.544,
2014-01,5.522,
2014-04,5.410,
2014-07,5.409,
