"",BBK01.OEAE13K,BBK01.OEAE13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:53,
2002-01,3.168,
2002-04,3.081,
2002-07,3.168,
2002-10,3.613,
2003-01,3.469,
2003-04,3.454,
2003-07,3.440,
2003-10,3.423,
2004-01,2.938,
2004-04,1.454,
2004-07,1.660,
2004-10,2.029,
2005-01,1.739,
2005-04,1.673,
2005-07,1.505,
2005-10,1.470,
2006-01,2.164,
2006-04,2.134,
2006-07,2.104,
2006-10,2.078,
2007-01,1.944,
2007-04,1.956,
2007-07,1.813,
2007-10,2.084,
2008-01,1.885,
2008-04,1.982,
2008-07,2.173,
2008-10,1.438,
2009-01,1.503,
2009-04,1.782,
2009-07,1.817,
2009-10,1.762,
2010-01,1.975,
2010-04,2.177,
2010-07,2.028,
2010-10,1.715,
2011-01,1.724,
2011-04,1.698,
2011-07,1.687,
2011-10,1.711,
2012-01,2.030,
2012-04,1.825,
2012-07,1.860,
2012-10,1.764,
2013-01,1.876,
2013-04,1.948,
2013-07,1.771,
2013-10,1.739,
2014-01,1.664,
2014-04,1.831,
2014-07,1.586,
