"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F519._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.O.F519._Z._T.M.N_FLAGS
"",IIP - Other Investment - Other equity  - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:45,
1999-10,1541,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,1740,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,1773,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,1857,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,1915,
2004-01,1965,
2004-04,1986,
2004-07,2045,
2004-10,2115,
2005-01,2061,
2005-04,2066,
2005-07,2030,
2005-10,2338,
2006-01,2321,
2006-04,2339,
2006-07,2332,
2006-10,2676,
2007-01,3322,
2007-04,3322,
2007-07,3379,
2007-10,3426,
2008-01,3052,
2008-04,3053,
2008-07,4514,
2008-10,4467,
2009-01,4441,
2009-04,4467,
2009-07,4471,
2009-10,4875,
2010-01,4807,
2010-04,4822,
2010-07,4822,
2010-10,4811,
2011-01,4882,
2011-04,4900,
2011-07,4898,
2011-10,5076,
2012-01,5016,
2012-04,4991,
2012-07,4987,
2012-10,5186,
2013-01,5119,
2013-04,5114,
2013-07,5177,
2013-10,5173,
2014-01,5128,
2014-04,5106,
2014-07,5046,
