"",BBK01.OEAL01T,BBK01.OEAL01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:57,
2002-01,18.946,
2002-04,18.799,
2002-07,18.889,
2002-10,19.389,
2003-01,19.395,
2003-04,19.167,
2003-07,19.101,
2003-10,19.465,
2004-01,19.490,
2004-04,19.284,
2004-07,19.139,
2004-10,19.435,
2005-01,20.452,
2005-04,20.287,
2005-07,20.201,
2005-10,20.500,
2006-01,20.527,
2006-04,20.363,
2006-07,20.276,
2006-10,20.511,
2007-01,20.612,
2007-04,20.619,
2007-07,20.700,
2007-10,21.146,
2008-01,21.141,
2008-04,21.097,
2008-07,20.961,
2008-10,21.740,
2009-01,21.949,
2009-04,21.667,
2009-07,21.588,
2009-10,21.961,
2010-01,21.989,
2010-04,22.041,
2010-07,22.068,
2010-10,22.519,
2011-01,22.536,
2011-04,22.536,
2011-07,22.557,
2011-10,22.971,
2012-01,23.080,
2012-04,23.124,
2012-07,23.127,
2012-10,23.378,
2013-01,23.170,
2013-04,23.220,
2013-07,23.246,
2013-10,23.430,
2014-01,23.499,
2014-04,23.663,
2014-07,23.825,
