"",BBK01.OEAE32Q,BBK01.OEAE32Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:30,
2002-01,1.135,
2002-04,1.136,
2002-07,1.105,
2002-10,1.099,
2003-01,1.074,
2003-04,1.204,
2003-07,1.188,
2003-10,1.184,
2004-01,1.180,
2004-04,1.127,
2004-07,1.110,
2004-10,1.101,
2005-01,1.093,
2005-04,1.054,
2005-07,1.069,
2005-10,1.062,
2006-01,1.050,
2006-04,1.056,
2006-07,1.045,
2006-10,1.025,
2007-01,1.042,
2007-04,0.925,
2007-07,0.891,
2007-10,0.888,
2008-01,0.862,
2008-04,0.857,
2008-07,0.842,
2008-10,0.835,
2009-01,0.836,
2009-04,0.857,
2009-07,0.927,
2009-10,0.917,
2010-01,0.903,
2010-04,0.895,
2010-07,0.895,
2010-10,0.901,
2011-01,0.885,
2011-04,0.885,
2011-07,0.835,
2011-10,0.842,
2012-01,0.853,
2012-04,0.855,
2012-07,0.858,
2012-10,0.903,
2013-01,0.917,
2013-04,0.916,
2013-07,0.916,
2013-10,0.943,
2014-01,0.946,
2014-04,0.936,
2014-07,0.944,
