"",BBK01.OEHL07J,BBK01.OEHL07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:08,
2002-01,3.651,
2002-04,3.638,
2002-07,3.662,
2002-10,3.782,
2003-01,3.834,
2003-04,3.848,
2003-07,3.857,
2003-10,3.954,
2004-01,3.983,
2004-04,4.021,
2004-07,4.468,
2004-10,4.213,
2005-01,4.284,
2005-04,4.304,
2005-07,4.309,
2005-10,4.428,
2006-01,4.438,
2006-04,4.408,
2006-07,4.389,
2006-10,4.381,
2007-01,4.261,
2007-04,4.220,
2007-07,4.116,
2007-10,4.104,
2008-01,3.955,
2008-04,3.775,
2008-07,3.618,
2008-10,3.688,
2009-01,3.733,
2009-04,3.661,
2009-07,3.592,
2009-10,3.589,
2010-01,3.548,
2010-04,3.498,
2010-07,3.454,
2010-10,3.430,
2011-01,3.386,
2011-04,3.354,
2011-07,3.320,
2011-10,3.337,
2012-01,3.352,
2012-04,3.365,
2012-07,3.385,
2012-10,3.446,
2013-01,3.487,
2013-04,3.486,
2013-07,3.503,
2013-10,3.556,
2014-01,3.579,
2014-04,3.577,
2014-07,3.551,
