"",BBK01.OEAL03T,BBK01.OEAL03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:11,
2002-01,0.944,
2002-04,0.912,
2002-07,0.899,
2002-10,0.964,
2003-01,0.983,
2003-04,0.900,
2003-07,0.927,
2003-10,0.878,
2004-01,0.912,
2004-04,0.871,
2004-07,0.860,
2004-10,0.860,
2005-01,0.975,
2005-04,0.948,
2005-07,0.949,
2005-10,0.899,
2006-01,0.967,
2006-04,0.953,
2006-07,1.014,
2006-10,1.055,
2007-01,1.134,
2007-04,1.136,
2007-07,1.182,
2007-10,1.180,
2008-01,1.297,
2008-04,1.323,
2008-07,1.310,
2008-10,1.401,
2009-01,1.436,
2009-04,1.201,
2009-07,1.073,
2009-10,0.948,
2010-01,0.875,
2010-04,0.848,
2010-07,0.791,
2010-10,0.746,
2011-01,0.760,
2011-04,0.718,
2011-07,0.698,
2011-10,0.747,
2012-01,0.767,
2012-04,0.752,
2012-07,0.750,
2012-10,0.694,
2013-01,0.511,
2013-04,0.489,
2013-07,0.460,
2013-10,0.442,
2014-01,0.436,
2014-04,0.530,
2014-07,0.454,
