"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F89.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.O.F89.T._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Other accounts receivable / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:54,
1991-01,97.763,
1991-02,27.183,
1991-03,44.769,
1991-04,199.315,
1991-05,86.822,
1991-06,186.131,
1991-07,154.705,
1991-08,-8.397,
1991-09,182.238,
1991-10,136.538,
1991-11,7.834,
1991-12,-28.206,
1992-01,100.542,
1992-02,-464.658,
1992-03,7.043,
1992-04,160.440,
1992-05,24.348,
1992-06,-22.697,
1992-07,98.752,
1992-08,23.597,
1992-09,32.383,
1992-10,143.792,
1992-11,5.302,
1992-12,311.463,
1993-01,-83.602,
1993-02,-545.788,
1993-03,36.183,
1993-04,140.100,
1993-05,35.091,
1993-06,68.833,
1993-07,143.637,
1993-08,38.661,
1993-09,4.137,
1993-10,141.041,
1993-11,15.837,
1993-12,9.878,
1994-01,-536.380,
1994-02,43.367,
1994-03,-10.050,
1994-04,179.281,
1994-05,-5.786,
1994-06,3.629,
1994-07,133.207,
1994-08,53.319,
1994-09,144.247,
1994-10,15.776,
1994-11,-0.107,
1994-12,-193.319,
1995-01,-239.256,
1995-02,-13.526,
1995-03,128.290,
1995-04,204.729,
1995-05,-27.517,
1995-06,184.216,
1995-07,259.131,
1995-08,193.290,
1995-09,43.448,
1995-10,247.015,
1995-11,247.670,
1995-12,396.900,
1996-01,-460.183,
1996-02,69.463,
1996-03,30.182,
1996-04,208.722,
1996-05,91.116,
1996-06,69.181,
1996-07,204.443,
1996-08,122.540,
1996-09,-309.723,
1996-10,-137.584,
1996-11,-6.361,
1996-12,582.206,
1997-01,221.999,
1997-02,-66.109,
1997-03,-52.173,
1997-04,293.372,
1997-05,-120.809,
1997-06,224.721,
1997-07,16.437,
1997-08,27.720,
1997-09,-151.821,
1997-10,400.138,
1997-11,76.038,
1997-12,362.214,
1998-01,313.019,
1998-02,221.423,
1998-03,3.234,
1998-04,194.685,
1998-05,165.996,
1998-06,-118.293,
1998-07,1367.528,
1998-08,149.974,
1998-09,48.852,
