"",BBK01.CEHF10,BBK01.CEHF10_FLAGS
"",longer-term loans debtor: Non-financial corporations                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:00,
1991-01,20.9,
1991-04,10.7,
1991-07,22.1,
1991-10,10.6,
1992-01,12.9,
1992-04,14.4,
1992-07,13.7,
1992-10,11.0,
1993-01,14.2,
1993-04,11.4,
1993-07,15.8,
1993-10,14.5,
1994-01,7.0,
1994-04,8.9,
1994-07,5.2,
1994-10,-0.5,
1995-01,2.0,
1995-04,7.8,
1995-07,7.2,
1995-10,1.7,
1996-01,8.4,
1996-04,12.9,
1996-07,6.8,
1996-10,12.8,
1997-01,4.6,
1997-04,2.7,
1997-07,10.0,
1997-10,20.1,
1998-01,7.2,
1998-04,4.5,
1998-07,15.8,
1998-10,27.6,
1999-01,7.8,
1999-04,11.6,
1999-07,19.3,
1999-10,17.8,
2000-01,0.8,
2000-04,15.1,
2000-07,11.2,
2000-10,20.8,
2001-01,5.4,
2001-04,10.0,
2001-07,15.7,
2001-10,15.3,
2002-01,19.5,
2002-04,17.2,
2002-07,5.9,
2002-10,4.4,
2003-01,2.6,
2003-04,2.0,
2003-07,-8.3,
2003-10,-0.8,
2004-01,-4.6,
2004-04,-1.5,
2004-07,-12.6,
2004-10,1.3,
2005-01,-19.2,
2005-04,1.6,
2005-07,3.9,
2005-10,-6.9,
2006-01,13.8,
2006-04,6.2,
2006-07,14.3,
2006-10,-3.3,
2007-01,-0.1,
2007-04,0.4,
2007-07,1.3,
2007-10,25.9,
2008-01,-12.5,
2008-04,7.4,
2008-07,10.9,
2008-10,9.2,
2009-01,12.4,
2009-04,8.5,
2009-07,1.1,
2009-10,5.1,
2010-01,-2.2,
2010-04,1.6,
2010-07,6.9,
2010-10,7.1,
2011-01,-5.2,
2011-04,0.8,
2011-07,2.0,
2011-10,10.8,
2012-01,-1.8,
2012-04,7.3,
2012-07,22.3,
2012-10,-16.1,
2013-01,7.6,
2013-04,1.5,
2013-07,1.0,
2013-10,-0.3,
2014-01,1.0,
