"",BBK01.OEXB04P,BBK01.OEXB04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:22,
2002-01,0.897,
2002-04,0.924,
2002-07,0.954,
2002-10,0.993,
2003-01,1.018,
2003-04,1.041,
2003-07,1.009,
2003-10,0.905,
2004-01,0.924,
2004-04,0.931,
2004-07,0.940,
2004-10,0.930,
2005-01,0.942,
2005-04,0.954,
2005-07,0.987,
2005-10,1.009,
2006-01,1.035,
2006-04,1.050,
2006-07,1.062,
2006-10,1.094,
2007-01,1.120,
2007-04,1.094,
2007-07,1.152,
2007-10,1.266,
2008-01,1.291,
2008-04,2.122,
2008-07,2.138,
2008-10,2.128,
2009-01,2.111,
2009-04,2.101,
2009-07,2.093,
2009-10,2.090,
2010-01,2.087,
2010-04,2.077,
2010-07,2.084,
2010-10,2.084,
2011-01,2.080,
2011-04,2.104,
2011-07,2.124,
2011-10,2.142,
2012-01,2.158,
2012-04,2.175,
2012-07,2.194,
2012-10,2.191,
2013-01,2.165,
2013-04,2.153,
2013-07,2.142,
2013-10,2.117,
2014-01,2.097,
2014-04,2.084,
2014-07,2.071,
