"",BBK01.OXA8C5,BBK01.OXA8C5_FLAGS
"",Short-term loans (including bills of exchange) to domestic insurance companies - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:46,
1999-01,1.776,
1999-02,1.958,
1999-03,1.442,
1999-04,1.159,
1999-05,1.048,
1999-06,1.616,
1999-07,1.252,
1999-08,1.228,
1999-09,1.295,
1999-10,1.422,
1999-11,2.206,
1999-12,1.063,
2000-01,1.974,
2000-02,1.222,
2000-03,1.507,
2000-04,3.398,
2000-05,1.388,
2000-06,1.459,
2000-07,1.095,
2000-08,1.739,
2000-09,1.864,
2000-10,1.424,
2000-11,2.182,
2000-12,1.195,
2001-01,1.576,
2001-02,1.481,
2001-03,1.265,
2001-04,1.165,
2001-05,1.395,
2001-06,1.693,
2001-07,1.268,
2001-08,1.592,
2001-09,2.389,
2001-10,1.801,
2001-11,2.563,
2001-12,2.600,
2002-01,1.890,
2002-02,2.333,
2002-03,2.270,
2002-04,1.428,
2002-05,1.362,
2002-06,1.545,
2002-07,1.648,
2002-08,1.634,
2002-09,1.898,
2002-10,1.964,
2002-11,2.213,
2002-12,2.024,
2003-01,2.200,
2003-02,1.851,
2003-03,2.443,
2003-04,1.512,
2003-05,1.887,
2003-06,2.415,
2003-07,2.232,
2003-08,1.524,
2003-09,1.885,
2003-10,1.758,
2003-11,1.954,
2003-12,1.755,
2004-01,3.052,
2004-02,2.536,
2004-03,2.025,
2004-04,1.845,
2004-05,1.884,
2004-06,1.162,
2004-07,0.771,
2004-08,1.115,
2004-09,1.143,
2004-10,1.122,
2004-11,1.118,
2004-12,0.847,
2005-01,0.985,
2005-02,1.036,
2005-03,1.027,
2005-04,0.900,
2005-05,1.588,
2005-06,1.156,
2005-07,0.681,
2005-08,0.991,
2005-09,1.228,
2005-10,0.785,
2005-11,1.583,
2005-12,0.680,
2006-01,1.356,
2006-02,1.108,
2006-03,1.346,
2006-04,0.998,
2006-05,1.352,
2006-06,1.301,
2006-07,0.570,
2006-08,0.867,
2006-09,0.819,
2006-10,0.697,
2006-11,1.358,
2006-12,0.754,
2007-01,1.305,
2007-02,3.177,
2007-03,3.616,
2007-04,3.405,
2007-05,2.403,
2007-06,3.493,
2007-07,4.628,
2007-08,3.750,
2007-09,3.883,
2007-10,3.479,
2007-11,3.939,
2007-12,4.166,
2008-01,2.889,
2008-02,3.056,
2008-03,4.483,
2008-04,2.802,
2008-05,2.792,
2008-06,2.881,
2008-07,3.479,
2008-08,3.995,
2008-09,4.316,
2008-10,3.671,
2008-11,4.495,
2008-12,2.198,
2009-01,2.286,
2009-02,2.352,
2009-03,2.506,
2009-04,2.193,
2009-05,2.207,
2009-06,1.945,
2009-07,2.163,
2009-08,1.881,
2009-09,2.230,
2009-10,1.796,
2009-11,1.860,
2009-12,1.969,
2010-01,2.095,
2010-02,2.257,
2010-03,2.126,
2010-04,1.812,
2010-05,2.594,
2010-06,1.849,
2010-07,1.697,
2010-08,0.759,
2010-09,1.599,
2010-10,1.899,
2010-11,2.283,
2010-12,2.175,
2011-01,1.058,
2011-02,1.327,
2011-03,0.779,
2011-04,0.914,
2011-05,0.437,
2011-06,0.575,
2011-07,0.639,
2011-08,0.704,
2011-09,0.672,
2011-10,0.960,
2011-11,1.309,
2011-12,0.709,
2012-01,0.765,
2012-02,0.908,
2012-03,0.756,
2012-04,0.857,
2012-05,0.812,
2012-06,1.666,
2012-07,0.976,
2012-08,1.089,
2012-09,1.317,
2012-10,1.360,
2012-11,1.374,
2012-12,1.273,
2013-01,1.525,
2013-02,1.221,
2013-03,1.350,
2013-04,1.002,
2013-05,0.900,
2013-06,1.277,
2013-07,0.842,
2013-08,0.920,
2013-09,0.996,
2013-10,1.174,
2013-11,1.463,
2013-12,1.620,
2014-01,2.202,
2014-02,2.317,
2014-03,2.127,
2014-04,1.307,
2014-05,0.936,
2014-06,1.725,
2014-07,1.083,
2014-08,1.445,
2014-09,3.110,
2014-10,1.134,
2014-11,1.471,
2014-12,0.918,Provisional value
