"",BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.S1.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Asia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:48,
1991-01,314.417,
1991-04,150.266,
1991-07,170.419,
1991-10,9.436,
1992-01,353.282,
1992-04,4.912,
1992-07,7.902,
1992-10,67.887,
1993-01,-190.690,
1993-04,-39.741,
1993-07,-70.998,
1993-10,-110.359,
1994-01,-13.413,
1994-04,19.213,
1994-07,-36.750,
1994-10,0.083,
1995-01,96.233,
1995-04,127.401,
1995-07,302.518,
1995-10,125.731,
1996-01,-668.136,
1996-04,70.940,
1996-07,142.127,
1996-10,220.142,
1997-01,-57.419,
1997-04,209.588,
1997-07,264.022,
1997-10,343.618,
1998-01,103.414,
1998-04,-44.009,
1998-07,-68.985,
1998-10,96.957,
1999-01,349.315,
1999-04,-28.197,
1999-07,179.089,
1999-10,583.681,
2000-01,37.792,
2000-04,756.123,
2000-07,804.532,
2000-10,561.301,
2001-01,-336.796,
2001-04,-383.780,
2001-07,642.306,
2001-10,-223.740,
2002-01,-203.582,
2002-04,-3.527,
2002-07,257.851,
2002-10,165.984,
2003-01,2874.099,
2003-04,252.237,
2003-07,350.018,
2003-10,-2649.935,
2004-01,372.270,
2004-04,136.962,
2004-07,194.135,
2004-10,2123.824,
2005-01,-66.680,
2005-04,-529.057,
2005-07,606.912,
2005-10,891.088,
2006-01,61.598,
2006-04,835.159,
2006-07,483.691,
2006-10,1133.016,
2007-01,1283.655,
2007-04,815.974,
2007-07,866.083,
2007-10,732.923,
2008-01,-669.771,
2008-04,12.287,
2008-07,762.880,
2008-10,1004.159,
2009-01,-868.669,
2009-04,-290.338,
2009-07,1336.064,
2009-10,5211.609,
2010-01,-66.622,
2010-04,2762.180,
2010-07,1126.304,
2010-10,1648.109,
2011-01,-40.054,
2011-04,765.276,
2011-07,1518.553,
2011-10,1529.731,
2012-01,-391.907,
2012-04,-237.333,
2012-07,1404.810,
2012-10,1302.378,
2013-01,-548.707,
2013-04,-1396.618,
2013-07,1811.406,
2013-10,887.770,
2014-01,-1404.135,Provisional value
2014-04,569.469,Provisional value
2014-07,715.657,Provisional value
2014-10,2403.657,Provisional value
