"",BBFN1.M.DE.N.1.L.SK.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SK.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2005-07,.,No value available
2005-08,.,No value available
2005-09,0.067,
2005-10,.,No value available
2005-11,0.087,
2005-12,0.098,
2006-01,0.109,
2006-02,0.101,
2006-03,0.101,
2006-04,0.103,
2006-05,0.094,
2006-06,0.092,
2006-07,0.084,
2006-08,0.071,
2006-09,0.085,
2006-10,0.069,
2006-11,0.076,
2006-12,0.107,
2007-01,0.120,
2007-02,0.115,
2007-03,0.103,
2007-04,0.114,
2007-05,0.123,
2007-06,0.142,
2007-07,0.169,
2007-08,0.182,
2007-09,0.201,
2007-10,0.185,
2007-11,0.194,
2007-12,0.224,
2008-01,0.201,
2008-02,0.251,
2008-03,0.261,
2008-04,0.275,
2008-05,0.326,
2008-06,0.292,
2008-07,0.275,
2008-08,0.277,
2008-09,0.298,
2008-10,0.360,
2008-11,0.407,
2008-12,0.402,
2009-01,0.524,
2009-02,0.521,
2009-03,0.394,
2009-04,0.279,
2009-05,0.299,
2009-06,0.302,
2009-07,0.336,
2009-08,0.400,
2009-09,0.377,
2009-10,0.404,
2009-11,0.407,
2009-12,0.389,
2010-01,0.363,
2010-02,0.365,
2010-03,0.386,
2010-04,.,No value available
2010-05,0.391,
2010-06,.,No value available
2010-07,.,No value available
2010-08,.,No value available
2010-09,0.395,
2010-10,.,No value available
2010-11,0.556,
2010-12,0.584,
2011-01,.,No value available
2011-02,.,No value available
2011-03,.,No value available
2011-04,0.693,
2011-05,0.542,
2011-06,0.609,
2011-07,0.530,
2011-08,0.581,
2011-09,0.630,
2011-10,0.650,
2011-11,0.675,
2011-12,0.773,
2012-01,0.703,
2012-02,0.678,
2012-03,0.648,
2012-04,0.605,
2012-05,0.671,
2012-06,0.587,
2012-07,0.598,
2012-08,0.773,
2012-09,0.612,
2012-10,0.641,
2012-11,0.643,
2012-12,0.540,
2013-01,0.467,
2013-02,0.514,
2013-03,0.537,
2013-04,0.560,
2013-05,0.548,
2013-06,0.579,
2013-07,0.882,
2013-08,0.463,
2013-09,0.553,
2013-10,0.549,
2013-11,0.770,
2013-12,0.680,
2014-01,0.670,
2014-02,0.894,
2014-03,0.881,
2014-04,0.905,
2014-05,0.586,
2014-06,0.641,
2014-07,0.582,
2014-08,0.658,
2014-09,0.631,
2014-10,0.829,
2014-11,0.825,
2014-12,0.818,
