"",BBK01.OEAI07G,BBK01.OEAI07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:43,
2002-01,114.254,
2002-04,113.057,
2002-07,113.404,
2002-10,118.487,
2003-01,120.337,
2003-04,120.347,
2003-07,121.055,
2003-10,124.919,
2004-01,126.700,
2004-04,126.936,
2004-07,127.319,
2004-10,130.321,
2005-01,99.618,
2005-04,99.418,
2005-07,98.882,
2005-10,99.624,
2006-01,99.032,
2006-04,97.911,
2006-07,96.656,
2006-10,96.228,
2007-01,94.827,
2007-04,92.351,
2007-07,90.100,
2007-10,90.018,
2008-01,87.480,
2008-04,85.207,
2008-07,82.669,
2008-10,84.786,
2009-01,87.376,
2009-04,89.513,
2009-07,93.170,
2009-10,98.738,
2010-01,101.577,
2010-04,102.032,
2010-07,102.657,
2010-10,104.908,
2011-01,106.568,
2011-04,106.038,
2011-07,105.533,
2011-10,105.693,
2012-01,106.182,
2012-04,105.738,
2012-07,105.676,
2012-10,106.567,
2013-01,106.154,
2013-04,105.529,
2013-07,105.697,
2013-10,106.600,
2014-01,106.871,
2014-04,106.128,
2014-07,106.792,
