"",BBK01.OEAH86S,BBK01.OEAH86S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:36,
2002-01,0.018,
2002-04,0.023,
2002-07,0.023,
2002-10,0.036,
2003-01,0.034,
2003-04,0.038,
2003-07,0.034,
2003-10,0.038,
2004-01,0.042,
2004-04,0.039,
2004-07,0.040,
2004-10,0.052,
2005-01,0.041,
2005-04,0.054,
2005-07,0.050,
2005-10,0.048,
2006-01,0.050,
2006-04,0.049,
2006-07,0.054,
2006-10,0.053,
2007-01,0.052,
2007-04,0.053,
2007-07,0.052,
2007-10,0.055,
2008-01,0.056,
2008-04,0.062,
2008-07,0.062,
2008-10,0.065,
2009-01,0.068,
2009-04,0.071,
2009-07,0.076,
2009-10,0.049,
2010-01,0.056,
2010-04,0.062,
2010-07,0.062,
2010-10,0.066,
2011-01,0.061,
2011-04,0.063,
2011-07,0.074,
2011-10,0.091,
2012-01,0.079,
2012-04,0.081,
2012-07,0.083,
2012-10,0.078,
2013-01,0.080,
2013-04,0.088,
2013-07,0.135,
2013-10,0.138,
2014-01,0.098,
2014-04,0.098,
2014-07,0.105,
