"",BBK01.OECI07P,BBK01.OECI07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:02,
2002-01,0.187,
2002-04,0.142,
2002-07,0.139,
2002-10,0.153,
2003-01,0.146,
2003-04,0.144,
2003-07,0.164,
2003-10,0.171,
2004-01,0.168,
2004-04,0.167,
2004-07,0.192,
2004-10,0.212,
2005-01,0.571,
2005-04,0.572,
2005-07,0.564,
2005-10,0.557,
2006-01,0.550,
2006-04,0.537,
2006-07,0.517,
2006-10,0.505,
2007-01,0.515,
2007-04,0.502,
2007-07,0.496,
2007-10,0.503,
2008-01,0.498,
2008-04,0.515,
2008-07,0.502,
2008-10,0.506,
2009-01,0.527,
2009-04,0.573,
2009-07,0.597,
2009-10,0.615,
2010-01,0.626,
2010-04,0.620,
2010-07,0.620,
2010-10,0.634,
2011-01,0.627,
2011-04,0.605,
2011-07,0.599,
2011-10,0.609,
2012-01,0.665,
2012-04,0.650,
2012-07,0.637,
2012-10,0.647,
2013-01,0.640,
2013-04,0.627,
2013-07,0.603,
2013-10,0.596,
2014-01,0.577,
2014-04,0.565,
2014-07,0.575,
