"",BBK01.OEAD39I,BBK01.OEAD39I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:14,
2002-01,0.078,
2002-04,0.079,
2002-07,0.072,
2002-10,0.059,
2003-01,0.060,
2003-04,0.075,
2003-07,0.073,
2003-10,0.072,
2004-01,0.062,
2004-04,0.052,
2004-07,0.052,
2004-10,0.054,
2005-01,0.050,
2005-04,0.054,
2005-07,0.046,
2005-10,0.048,
2006-01,0.042,
2006-04,0.041,
2006-07,0.044,
2006-10,0.040,
2007-01,0.039,
2007-04,0.032,
2007-07,0.032,
2007-10,0.020,
2008-01,0.019,
2008-04,0.018,
2008-07,0.019,
2008-10,0.020,
2009-01,0.020,
2009-04,0.021,
2009-07,0.020,
2009-10,0.016,
2010-01,0.009,
2010-04,0.010,
2010-07,0.016,
2010-10,0.009,
2011-01,0.013,
2011-04,0.013,
2011-07,0.010,
2011-10,0.010,
2012-01,0.013,
2012-04,0.014,
2012-07,0.019,
2012-10,0.021,
2013-01,0.021,
2013-04,0.020,
2013-07,0.020,
2013-10,0.020,
2014-01,0.017,
2014-04,0.018,
2014-07,0.018,
