"",BBEX3.M.SGD.EUR.CA.AC.A01,BBEX3.M.SGD.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Singapore / EUR 1 = SGD ... (middle),
unit,SGD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:53,
1999-01,1.926000,
1999-02,1.900500,
1999-03,1.852500,
1999-04,1.799500,
1999-05,1.806000,
1999-06,1.757500,
1999-07,1.808000,
1999-08,1.767500,
1999-09,1.808500,
1999-10,1.756000,
1999-11,1.697000,
1999-12,1.679000,
2000-01,1.669000,
2000-02,1.656500,
2000-03,1.648500,
2000-04,1.553000,
2000-05,1.612500,
2000-06,1.646000,
2000-07,1.602000,
2000-08,1.537500,
2000-09,1.531000,
2000-10,1.472500,
2000-11,1.509000,
2000-12,1.611900,
2001-01,1.615000,
2001-02,1.599000,
2001-03,1.585500,
2001-04,1.622500,
2001-05,1.547500,
2001-06,1.539000,
2001-07,1.578500,
2001-08,1.595000,
2001-09,1.616000,
2001-10,1.652000,
2001-11,1.624500,
2001-12,1.634000,
2002-01,1.580461,
2002-02,1.588544,
2002-03,1.608696,
2002-04,1.634250,
2002-05,1.673014,
2002-06,1.744932,
2002-07,1.738392,
2002-08,1.721421,
2002-09,1.746594,
2002-10,1.744363,
2002-11,1.750239,
2002-12,1.807697,
2003-01,1.880533,
2003-02,1.867118,
2003-03,1.910601,
2003-04,1.971336,
2003-05,2.055695,
2003-06,2.009376,
2003-07,1.996473,
2003-08,1.911961,
2003-09,2.002705,
2003-10,2.019584,
2003-11,2.055477,
2003-12,2.126031,
2004-01,2.103565,
2004-02,2.112016,
2004-03,2.047437,
2004-04,2.038404,
2004-05,2.075034,
2004-06,2.072581,
2004-07,2.072204,
2004-08,2.067170,
2004-09,2.083180,
2004-10,2.122171,
2004-11,2.174678,
2004-12,2.229029,
2005-01,2.130618,
2005-02,2.155001,
2005-03,2.136709,
2005-04,2.129782,
2005-05,2.068962,
2005-06,2.036483,
2005-07,2.016805,
2005-08,2.060058,
2005-09,2.033216,
2005-10,2.040008,
2005-11,1.994280,
2005-12,1.973529,
2006-01,1.984288,
2006-02,1.922209,
2006-03,1.967205,
2006-04,1.984805,
2006-05,2.027350,
2006-06,2.017010,
2006-07,2.016256,
2006-08,2.020451,
2006-09,2.017443,
2006-10,1.986333,
2006-11,2.032112,
2006-12,2.017943,
2007-01,1.991800,
2007-02,2.023100,
2007-03,2.024100,
2007-04,2.073900,
2007-05,2.055000,
2007-06,2.059500,
2007-07,2.073600,
2007-08,2.081600,
2007-09,2.112300,
2007-10,2.092900,
2007-11,2.131400,
2007-12,2.125200,
2008-01,2.105300,
2008-02,2.114100,
2008-03,2.180700,
2008-04,2.120600,
2008-05,2.118400,
2008-06,2.149300,
2008-07,2.131800,
2008-08,2.087600,
2008-09,2.055800,
2008-10,1.901700,
2008-11,1.944100,
2008-12,2.025800,
2009-01,1.944700,
2009-02,1.959900,
2009-03,2.015300,
2009-04,1.969000,
2009-05,2.028400,
2009-06,2.046400,
2009-07,2.036100,
2009-08,2.060000,
2009-09,2.067400,
2009-10,2.075200,
2009-11,2.082900,
2009-12,2.016300,
2010-01,1.960100,
2010-02,1.913200,
2010-03,1.878900,
2010-04,1.813500,
2010-05,1.726500,
2010-06,1.711300,
2010-07,1.779000,
2010-08,1.715100,
2010-09,1.791900,
2010-10,1.805600,
2010-11,1.728900,
2010-12,1.712000,
2011-01,1.749100,
2011-02,1.750700,
2011-03,1.782800,
2011-04,1.820700,
2011-05,1.772000,
2011-06,1.783800,
2011-07,1.727200,
2011-08,1.739100,
2011-09,1.759300,
2011-10,1.751800,
2011-11,1.725700,
2011-12,1.683500,
2012-01,1.654100,
2012-02,1.681500,
2012-03,1.678200,
2012-04,1.638900,
2012-05,1.593600,
2012-06,1.602300,
2012-07,1.530500,
2012-08,1.567600,
2012-09,1.584400,
2012-10,1.581900,
2012-11,1.586400,
2012-12,1.615100,
2013-01,1.681600,
2013-02,1.625100,
2013-03,1.589200,
2013-04,1.616300,
2013-05,1.644400,
2013-06,1.653500,
2013-07,1.688500,
2013-08,1.689000,
2013-09,1.697500,
2013-10,1.699600,
2013-11,1.709700,
2013-12,1.745200,
2014-01,1.741900,
2014-02,1.736600,
2014-03,1.732800,
2014-04,1.734700,
2014-05,1.707000,
2014-06,1.704100,
2014-07,1.669200,
2014-08,1.646600,
2014-09,1.615700,
2014-10,1.610500,
2014-11,1.621500,
2014-12,1.607200,
2015-01,1.530000,
"","General: Under an agreement between Singapore and Brunei Darussalam, the Brunei dollar (convertible at par) is also accepted as legal tender.",
"","Source: Since 2007 Monetary Authority of Singapore Previously calculated on the basis of the buying and selling rates of the following banks: December 2001 - December 2006 Deutsche Bank, Singapore Branch 1999 - November 2001 BHF-Bank, Singapore Branch",
