"",BBK01.OEXI02L,BBK01.OEXI02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:35,
2002-01,30.860,
2002-04,35.688,
2002-07,40.421,
2002-10,40.640,
2003-01,48.480,
2003-04,53.453,
2003-07,53.114,
2003-10,48.778,
2004-01,62.420,
2004-04,71.057,
2004-07,69.876,
2004-10,69.087,
2005-01,77.400,
2005-04,81.783,
2005-07,76.113,
2005-10,80.493,
2006-01,84.707,
2006-04,87.244,
2006-07,79.470,
2006-10,82.619,
2007-01,83.347,
2007-04,85.966,
2007-07,80.689,
2007-10,86.443,
2008-01,88.624,
2008-04,88.991,
2008-07,86.231,
2008-10,93.783,
2009-01,106.855,
2009-04,103.816,
2009-07,98.615,
2009-10,98.729,
2010-01,95.441,
2010-04,97.774,
2010-07,97.585,
2010-10,99.726,
2011-01,108.202,
2011-04,110.581,
2011-07,117.023,
2011-10,115.168,
2012-01,113.244,
2012-04,111.673,
2012-07,120.527,
2012-10,131.222,
2013-01,139.151,
2013-04,143.434,
2013-07,149.300,
2013-10,152.490,
2014-01,153.218,
2014-04,156.215,
2014-07,169.037,
