"",BBK01.OEAF26L,BBK01.OEAF26L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:20,
2002-01,2.296,
2002-04,2.256,
2002-07,2.262,
2002-10,2.383,
2003-01,2.897,
2003-04,2.908,
2003-07,2.858,
2003-10,2.913,
2004-01,2.967,
2004-04,3.255,
2004-07,3.303,
2004-10,3.359,
2005-01,3.360,
2005-04,3.438,
2005-07,3.439,
2005-10,2.859,
2006-01,2.796,
2006-04,3.183,
2006-07,3.177,
2006-10,3.233,
2007-01,3.169,
2007-04,3.244,
2007-07,3.249,
2007-10,3.201,
2008-01,3.175,
2008-04,3.389,
2008-07,3.238,
2008-10,3.026,
2009-01,3.378,
2009-04,3.196,
2009-07,3.581,
2009-10,4.401,
2010-01,4.425,
2010-04,4.543,
2010-07,4.153,
2010-10,3.353,
2011-01,4.330,
2011-04,4.061,
2011-07,4.336,
2011-10,4.448,
2012-01,3.896,
2012-04,4.145,
2012-07,4.423,
2012-10,4.402,
2013-01,4.404,
2013-04,4.476,
2013-07,4.603,
2013-10,4.581,
2014-01,4.539,
2014-04,4.382,
2014-07,4.338,
