"",BBK01.OEAF25O,BBK01.OEAF25O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:01,
2002-01,1.348,
2002-04,1.338,
2002-07,1.315,
2002-10,1.269,
2003-01,1.226,
2003-04,1.144,
2003-07,1.130,
2003-10,1.092,
2004-01,1.067,
2004-04,1.060,
2004-07,1.063,
2004-10,1.041,
2005-01,1.015,
2005-04,1.016,
2005-07,1.030,
2005-10,1.031,
2006-01,1.007,
2006-04,0.992,
2006-07,0.995,
2006-10,0.978,
2007-01,0.962,
2007-04,0.943,
2007-07,0.924,
2007-10,0.891,
2008-01,0.874,
2008-04,0.874,
2008-07,0.876,
2008-10,0.842,
2009-01,0.872,
2009-04,0.903,
2009-07,0.926,
2009-10,0.936,
2010-01,0.910,
2010-04,0.940,
2010-07,0.988,
2010-10,0.996,
2011-01,1.001,
2011-04,1.016,
2011-07,1.042,
2011-10,1.003,
2012-01,1.237,
2012-04,1.399,
2012-07,1.375,
2012-10,1.329,
2013-01,1.293,
2013-04,1.275,
2013-07,1.260,
2013-10,1.024,
2014-01,1.011,
2014-04,1.008,
2014-07,1.024,
