"",BBK01.OEAA19K,BBK01.OEAA19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:00,
2002-01,14.542,
2002-04,14.350,
2002-07,14.025,
2002-10,14.286,
2003-01,13.011,
2003-04,13.413,
2003-07,13.079,
2003-10,14.129,
2004-01,13.793,
2004-04,12.952,
2004-07,11.507,
2004-10,10.318,
2005-01,9.955,
2005-04,9.879,
2005-07,10.081,
2005-10,11.004,
2006-01,9.897,
2006-04,10.825,
2006-07,11.242,
2006-10,11.725,
2007-01,11.064,
2007-04,10.538,
2007-07,11.684,
2007-10,11.719,
2008-01,13.089,
2008-04,13.849,
2008-07,13.662,
2008-10,13.744,
2009-01,13.411,
2009-04,13.567,
2009-07,12.721,
2009-10,12.218,
2010-01,12.439,
2010-04,12.511,
2010-07,12.658,
2010-10,11.984,
2011-01,12.080,
2011-04,11.784,
2011-07,12.960,
2011-10,12.588,
2012-01,13.162,
2012-04,13.662,
2012-07,13.567,
2012-10,12.719,
2013-01,12.607,
2013-04,13.262,
2013-07,13.159,
2013-10,12.398,
2014-01,12.430,
2014-04,12.911,
2014-07,12.022,
