"",BBFN1.M.DE.N.1.A.IN.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IN.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:46,
1994-07,0.505,
1994-08,0.518,
1994-09,0.529,
1994-10,0.514,
1994-11,0.521,
1994-12,0.525,
1995-01,0.510,
1995-02,0.503,
1995-03,0.511,
1995-04,0.479,
1995-05,0.497,
1995-06,0.542,
1995-07,0.546,
1995-08,0.566,
1995-09,0.602,
1995-10,0.576,
1995-11,0.631,
1995-12,0.705,
1996-01,0.620,
1996-02,0.643,
1996-03,0.694,
1996-04,0.693,
1996-05,0.736,
1996-06,0.734,
1996-07,0.730,
1996-08,0.693,
1996-09,0.707,
1996-10,0.707,
1996-11,0.689,
1996-12,0.723,
1997-01,0.723,
1997-02,0.703,
1997-03,0.696,
1997-04,0.695,
1997-05,0.725,
1997-06,0.741,
1997-07,0.763,
1997-08,0.796,
1997-09,0.795,
1997-10,0.789,
1997-11,0.820,
1997-12,0.801,
1998-01,0.744,
1998-02,0.766,
1998-03,0.778,
1998-04,0.752,
1998-05,0.755,
1998-06,0.732,
1998-07,0.723,
1998-08,0.747,
1998-09,0.744,
1998-10,0.722,
1998-11,0.703,
1998-12,0.688,
1999-01,0.673,
1999-02,0.681,
1999-03,0.722,
1999-04,0.676,
1999-05,0.707,
1999-06,0.760,
1999-07,0.751,
1999-08,0.782,
1999-09,0.740,
1999-10,0.806,
1999-11,0.791,
1999-12,0.816,
2000-01,0.810,
2000-02,0.727,
2000-03,0.773,
2000-04,0.760,
2000-05,0.764,
2000-06,0.730,
2000-07,0.791,
2000-08,0.783,
2000-09,0.829,
2000-10,0.837,
2000-11,0.740,
2000-12,0.782,
2001-01,0.738,
2001-02,0.758,
2001-03,0.769,
2001-04,0.814,
2001-05,0.790,
2001-06,0.818,
2001-07,0.788,
2001-08,0.787,
2001-09,0.795,
2001-10,0.812,
2001-11,0.794,
2001-12,0.776,
2002-01,0.743,
2002-02,0.752,
2002-03,0.750,
2002-04,0.746,
2002-05,0.847,
2002-06,0.795,
2002-07,0.776,
2002-08,0.775,
2002-09,0.785,
2002-10,0.783,
2002-11,0.802,
2002-12,0.808,
2003-01,0.810,
2003-02,0.863,
2003-03,0.822,
2003-04,0.901,
2003-05,0.768,
2003-06,0.736,
2003-07,0.758,
2003-08,0.744,
2003-09,0.690,
2003-10,0.690,
2003-11,0.705,
2003-12,0.726,
2004-01,0.685,
2004-02,0.681,
2004-03,0.677,
2004-04,0.670,
2004-05,0.714,
2004-06,0.726,
2004-07,0.723,
2004-08,0.751,
2004-09,0.772,
2004-10,0.763,
2004-11,0.756,
2004-12,0.743,
2005-01,0.712,
2005-02,0.773,
2005-03,0.814,
2005-04,0.784,
2005-05,0.799,
2005-06,0.784,
2005-07,0.831,
2005-08,0.805,
2005-09,0.807,
2005-10,0.869,
2005-11,0.883,
2005-12,0.920,
2006-01,0.875,
2006-02,0.902,
2006-03,0.984,
2006-04,0.957,
2006-05,0.949,
2006-06,0.948,
2006-07,0.994,
2006-08,1.028,
2006-09,1.002,
2006-10,1.046,
2006-11,1.045,
2006-12,1.135,
2007-01,1.154,
2007-02,1.135,
2007-03,1.137,
2007-04,1.145,
2007-05,1.175,
2007-06,1.193,
2007-07,1.229,
2007-08,1.202,
2007-09,1.302,
2007-10,1.279,
2007-11,1.323,
2007-12,1.425,
2008-01,1.355,
2008-02,1.402,
2008-03,1.512,
2008-04,1.502,
2008-05,1.536,
2008-06,1.590,
2008-07,1.644,
2008-08,1.664,
2008-09,1.702,
2008-10,1.959,
2008-11,1.721,
2008-12,1.650,
2009-01,1.534,
2009-02,1.531,
2009-03,1.558,
2009-04,1.580,
2009-05,1.483,
2009-06,1.522,
2009-07,1.566,
2009-08,1.644,
2009-09,1.719,
2009-10,1.709,
2009-11,1.756,
2009-12,1.826,
2010-01,1.814,
2010-02,1.845,
2010-03,1.902,
2010-04,1.959,
2010-05,2.007,
2010-06,2.092,
2010-07,2.125,
2010-08,2.154,
2010-09,2.135,
2010-10,2.226,
2010-11,2.241,
2010-12,2.297,
2011-01,2.283,
2011-02,2.322,
2011-03,2.411,
2011-04,2.571,
2011-05,2.528,
2011-06,2.453,
2011-07,2.532,
2011-08,2.552,
2011-09,2.625,
2011-10,2.698,
2011-11,2.679,
2011-12,2.480,
2012-01,2.465,
2012-02,2.457,
2012-03,2.412,
2012-04,2.432,
2012-05,2.428,
2012-06,2.605,
2012-07,2.588,
2012-08,2.626,
2012-09,2.595,
2012-10,2.600,
2012-11,2.543,
2012-12,2.566,
2013-01,2.363,
2013-02,2.346,
2013-03,2.320,
2013-04,2.353,
2013-05,2.409,
2013-06,2.461,
2013-07,2.386,
2013-08,2.405,
2013-09,2.559,
2013-10,2.505,
2013-11,2.454,
2013-12,2.398,
2014-01,2.265,
2014-02,2.297,
2014-03,2.243,
2014-04,2.296,
2014-05,2.350,
2014-06,2.406,
2014-07,2.413,
2014-08,2.433,
2014-09,2.459,
2014-10,2.495,
2014-11,2.480,
2014-12,2.483,
