"",BBK01.OEBB10S,BBK01.OEBB10S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:42,
2002-01,0.551,
2002-04,0.554,
2002-07,0.588,
2002-10,0.524,
2003-01,0.501,
2003-04,0.537,
2003-07,0.521,
2003-10,0.498,
2004-01,0.514,
2004-04,0.501,
2004-07,0.499,
2004-10,0.475,
2005-01,0.498,
2005-04,0.447,
2005-07,0.457,
2005-10,0.416,
2006-01,0.399,
2006-04,0.410,
2006-07,0.400,
2006-10,0.352,
2007-01,0.358,
2007-04,0.357,
2007-07,0.380,
2007-10,0.402,
2008-01,0.411,
2008-04,0.360,
2008-07,0.373,
2008-10,0.383,
2009-01,0.406,
2009-04,0.414,
2009-07,0.442,
2009-10,0.393,
2010-01,0.386,
2010-04,0.404,
2010-07,0.359,
2010-10,0.341,
2011-01,0.320,
2011-04,0.376,
2011-07,0.348,
2011-10,0.378,
2012-01,0.353,
2012-04,0.346,
2012-07,0.329,
2012-10,0.344,
2013-01,0.307,
2013-04,0.327,
2013-07,0.361,
2013-10,0.300,
2014-01,0.321,
2014-04,0.333,
2014-07,0.343,
