"",BBK01.WZ3406,BBK01.WZ3406_FLAGS
"","Yields, derived from the term structure of interest rates, on listed Federal securities with annual coupon payments / residual maturity of 7.0 years / end of month",
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:32,
1972-09,7.74,
1972-10,8.23,
1972-11,8.39,
1972-12,8.44,
1973-01,8.43,
1973-02,8.31,
1973-03,8.49,
1973-04,8.75,
1973-05,9.49,
1973-06,9.62,
1973-07,9.87,
1973-08,9.39,
1973-09,9.55,
1973-10,9.37,
1973-11,9.44,
1973-12,9.51,
1974-01,9.44,
1974-02,10.18,
1974-03,10.25,
1974-04,10.22,
1974-05,10.58,
1974-06,10.54,
1974-07,10.62,
1974-08,10.56,
1974-09,10.62,
1974-10,10.55,
1974-11,9.96,
1974-12,9.63,
1975-01,8.94,
1975-02,8.74,
1975-03,8.82,
1975-04,8.47,
1975-05,8.33,
1975-06,8.30,
1975-07,8.28,
1975-08,8.26,
1975-09,8.27,
1975-10,8.52,
1975-11,8.45,
1975-12,8.39,
1976-01,8.15,
1976-02,7.96,
1976-03,7.79,
1976-04,7.90,
1976-05,8.23,
1976-06,8.23,
1976-07,8.37,
1976-08,8.18,
1976-09,7.97,
1976-10,7.79,
1976-11,7.45,
1976-12,7.39,
1977-01,7.22,
1977-02,7.16,
1977-03,6.67,
1977-04,6.36,
1977-05,6.36,
1977-06,6.32,
1977-07,6.11,
1977-08,5.98,
1977-09,5.96,
1977-10,5.94,
1977-11,5.93,
1977-12,5.78,
1978-01,5.60,
1978-02,5.41,
1978-03,5.39,
1978-04,5.53,
1978-05,5.62,
1978-06,5.80,
1978-07,6.23,
1978-08,6.14,
1978-09,6.09,
1978-10,6.22,
1978-11,6.41,
1978-12,6.49,
1979-01,6.74,
1979-02,6.95,
1979-03,7.02,
1979-04,7.32,
1979-05,7.83,
1979-06,7.88,
1979-07,7.60,
1979-08,7.47,
1979-09,7.51,
1979-10,8.05,
1979-11,7.82,
1979-12,7.87,
1980-01,8.16,
1980-02,8.93,
1980-03,9.81,
1980-04,8.93,
1980-05,8.30,
1980-06,7.98,
1980-07,7.75,
1980-08,7.99,
