"",BBK01.OEAH34O,BBK01.OEAH34O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:00,
2002-01,0.028,
2002-04,0.025,
2002-07,0.024,
2002-10,0.023,
2003-01,0.018,
2003-04,0.018,
2003-07,0.028,
2003-10,0.058,
2004-01,0.056,
2004-04,0.060,
2004-07,0.060,
2004-10,0.071,
2005-01,0.081,
2005-04,0.076,
2005-07,0.060,
2005-10,0.082,
2006-01,0.085,
2006-04,0.089,
2006-07,0.101,
2006-10,0.091,
2007-01,0.070,
2007-04,0.075,
2007-07,0.101,
2007-10,0.131,
2008-01,0.119,
2008-04,0.177,
2008-07,0.205,
2008-10,0.211,
2009-01,0.248,
2009-04,0.306,
2009-07,0.325,
2009-10,0.576,
2010-01,0.602,
2010-04,0.546,
2010-07,0.590,
2010-10,0.569,
2011-01,0.574,
2011-04,0.348,
2011-07,0.283,
2011-10,0.294,
2012-01,0.276,
2012-04,0.511,
2012-07,0.616,
2012-10,0.660,
2013-01,0.525,
2013-04,0.244,
2013-07,0.232,
2013-10,0.216,
2014-01,0.209,
2014-04,0.194,
2014-07,0.194,
