"",BBSF2.M.1.S.I0015.REN01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.REN01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:07,
1993-04,3,
1993-05,11,
1993-06,1,
1993-07,71,
1993-08,0,
1993-09,23,
1993-10,6,
1993-11,5,
1993-12,12,
1994-01,50,
1994-02,16,
1994-03,21,
1994-04,51,
1994-05,25,
1994-06,17,
1994-07,13,
1994-08,20,
1994-09,80,
1994-10,3,
1994-11,5,
1994-12,8,
1995-01,25,
1995-02,39,
1995-03,31,
1995-04,9,
1995-05,4,
1995-06,5,
1995-07,27,
1995-08,0,
1995-09,21,
1995-10,2,
1995-11,-3,
1995-12,286,
1996-01,48,
1996-02,30,
1996-03,6,
1996-04,17,
1996-05,1,
1996-06,3,
1996-07,-32,
1996-08,6,
1996-09,56,
1996-10,44,
1996-11,7,
1996-12,53,
1997-01,38,
1997-02,27,
1997-03,11,
1997-04,6,
1997-05,1,
1997-06,42,
1997-07,50,
1997-08,38,
1997-09,26,
1997-10,17,
1997-11,7,
1997-12,33,
1998-01,26,
1998-02,124,
1998-03,34,
1998-04,7,
1998-05,71,
1998-06,3,
1998-07,111,
1998-08,3,
1998-09,-13,
1998-10,34,
1998-11,14,
1998-12,-26,
1999-01,18,
1999-02,306,
1999-03,53,
1999-04,63,
1999-05,32,
1999-06,11,
1999-07,25,
1999-08,58,
1999-09,75,
1999-10,3,
1999-11,3,
1999-12,23,
2000-01,318,
2000-02,8,
2000-03,194,
2000-04,6,
2000-05,1,
2000-06,69,
2000-07,-127,
2000-08,-4,
2000-09,-28,
2000-10,2,
2000-11,52,
2000-12,25,
2001-01,49,
2001-02,18,
2001-03,-109,
2001-04,-9,
2001-05,-13,
2001-06,-11,
2001-07,-56,
2001-08,-2,
2001-09,0,
2001-10,17,
2001-11,28,
2001-12,37,
2002-01,107,
2002-02,32,
2002-03,6,
2002-04,7,
2002-05,26,
2002-06,-82,
2002-07,-79,
2002-08,0,
2002-09,-1,
2002-10,17,
2002-11,1,
2002-12,88,
2003-01,49,
2003-02,59,
2003-03,-5,
2003-04,5,
2003-05,2,
2003-06,22,
2003-07,-13,
2003-08,15,
2003-09,-7,
2003-10,107,
2003-11,39,
2003-12,-241,
2004-01,-53,
2004-02,22,
2004-03,83,
2004-04,-6,
2004-05,97,
2004-06,-586,
2004-07,21,
2004-08,1,
2004-09,1,
2004-10,100,
2004-11,-63,
2004-12,1954,
2005-01,-2,
2005-02,24,
2005-03,-34,
2005-04,-154,
2005-05,30,
2005-06,0,
2005-07,67,
2005-08,4,
2005-09,50,
2005-10,-59,
2005-11,8,
2005-12,138,
2006-01,14,
2006-02,33,
2006-03,11,
2006-04,0,
2006-05,14,
2006-06,6,
2006-07,-82,
2006-08,-18,
2006-09,-36,
2006-10,-1,
2006-11,2,
2006-12,25,
2007-01,4,
2007-02,18,
2007-03,-112,
2007-04,25,
2007-05,-77,
2007-06,-167,
2007-07,-15,
2007-08,0,
2007-09,0,
2007-10,-10,
2007-11,-15,
2007-12,-15,
2008-01,0,
2008-02,11,
2008-03,-30,
2008-04,41,
2008-05,244,
2008-06,9,
2008-07,-10,
2008-08,6,
2008-09,-1,
2008-10,-52,
2008-11,-48,
2008-12,-4,
2009-01,-4,
2009-02,251,
2009-03,434,
2009-04,45,
2009-05,2,
2009-06,47,
2009-07,1024,
2009-08,2,
2009-09,107,
2009-10,-70,
2009-11,-163,
2009-12,-250,
2010-01,108,
2010-02,-166,
2010-03,17,
2010-04,77,
2010-05,-13,
2010-06,4,
2010-07,-4,
2010-08,42,
2010-09,18,
2010-10,-13,
2010-11,-1,
2010-12,27,
2011-01,-37,
2011-02,-141,
2011-03,-2,
2011-04,-5,
2011-05,27,
2011-06,-130,
2011-07,-28,
2011-08,-206,
2011-09,29,
2011-10,-9,
2011-11,0,
2011-12,-63,
2012-01,62,
2012-02,52,
2012-03,15,
2012-04,7,
2012-05,30,
2012-06,77,
2012-07,21,
2012-08,0,
2012-09,2,
2012-10,237,
2012-11,735,
2012-12,-189,
2013-01,-16,
2013-02,45,
2013-03,33,
2013-04,1,
2013-05,-290,
2013-06,396,
2013-07,-49,
2013-08,0,
2013-09,-8,
2013-10,-48,
2013-11,11,
2013-12,81,
2014-01,165,
2014-02,127,
2014-03,7,
2014-04,0,
2014-05,27,
2014-06,23,
2014-07,24,
2014-08,100,
2014-09,-14,
2014-10,-34,
2014-11,-55,
