"",BBK01.OECO02H,BBK01.OECO02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:49,
2002-01,0.738,
2002-04,0.526,
2002-07,0.409,
2002-10,0.628,
2003-01,0.725,
2003-04,0.762,
2003-07,0.915,
2003-10,0.721,
2004-01,0.973,
2004-04,0.512,
2004-07,1.262,
2004-10,1.091,
2005-01,3.638,
2005-04,3.184,
2005-07,1.144,
2005-10,1.189,
2006-01,1.339,
2006-04,1.289,
2006-07,1.063,
2006-10,1.411,
2007-01,1.987,
2007-04,1.238,
2007-07,1.032,
2007-10,1.537,
2008-01,1.328,
2008-04,1.644,
2008-07,0.838,
2008-10,1.564,
2009-01,1.906,
2009-04,2.284,
2009-07,2.442,
2009-10,1.623,
2010-01,3.250,
2010-04,2.303,
2010-07,1.998,
2010-10,2.133,
2011-01,2.221,
2011-04,1.875,
2011-07,2.203,
2011-10,1.928,
2012-01,3.269,
2012-04,1.620,
2012-07,2.055,
2012-10,2.221,
2013-01,2.372,
2013-04,1.586,
2013-07,1.393,
2013-10,1.300,
2014-01,1.103,
2014-04,1.158,
2014-07,1.621,
