"",BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.LE.A.FA.O.F4.T._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Assets - Positions - General government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:36,
1999-10,22334,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,23296,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,23315,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,22883,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,22086,
2004-01,21828,
2004-04,21775,
2004-07,21553,
2004-10,26153,
2005-01,23965,
2005-04,22734,
2005-07,17911,
2005-10,17627,
2006-01,16802,
2006-04,16233,
2006-07,9594,
2006-10,9187,
2007-01,9146,
2007-04,9076,
2007-07,9029,
2007-10,8530,
2008-01,8314,
2008-04,8213,
2008-07,8239,
2008-10,7866,
2009-01,8733,
2009-04,8036,
2009-07,17882,
2009-10,18430,
2010-01,20829,
2010-04,31262,
2010-07,30666,
2010-10,72217,
2011-01,70538,
2011-04,61734,
2011-07,59924,
2011-10,63725,
2012-01,72992,
2012-04,86995,
2012-07,85084,
2012-10,106336,
2013-01,106192,
2013-04,108601,
2013-07,111735,
2013-10,109597,
2014-01,108525,
2014-04,110228,
2014-07,111024,
