"",BBK01.OEAF35R,BBK01.OEAF35R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:46,
2002-01,0.997,
2002-04,1.040,
2002-07,1.068,
2002-10,1.105,
2003-01,1.090,
2003-04,1.112,
2003-07,1.060,
2003-10,1.058,
2004-01,1.070,
2004-04,1.078,
2004-07,1.074,
2004-10,1.093,
2005-01,1.059,
2005-04,1.057,
2005-07,1.061,
2005-10,1.059,
2006-01,1.008,
2006-04,1.025,
2006-07,1.040,
2006-10,1.038,
2007-01,1.049,
2007-04,1.049,
2007-07,1.046,
2007-10,1.042,
2008-01,1.040,
2008-04,1.072,
2008-07,1.088,
2008-10,1.090,
2009-01,1.102,
2009-04,1.110,
2009-07,1.062,
2009-10,1.233,
2010-01,1.068,
2010-04,1.044,
2010-07,1.060,
2010-10,1.070,
2011-01,1.061,
2011-04,1.065,
2011-07,1.091,
2011-10,1.123,
2012-01,1.125,
2012-04,1.146,
2012-07,1.151,
2012-10,1.108,
2013-01,1.108,
2013-04,1.133,
2013-07,1.143,
2013-10,1.124,
2014-01,1.131,
2014-04,1.140,
2014-07,1.146,
