"",BBK01.OECL08G,BBK01.OECL08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:05,
2002-01,1.550,
2002-04,0.833,
2002-07,0.812,
2002-10,0.934,
2003-01,0.947,
2003-04,0.956,
2003-07,1.257,
2003-10,1.279,
2004-01,1.172,
2004-04,1.197,
2004-07,1.526,
2004-10,1.595,
2005-01,5.470,
2005-04,5.539,
2005-07,5.472,
2005-10,5.425,
2006-01,5.311,
2006-04,5.158,
2006-07,4.980,
2006-10,4.878,
2007-01,5.035,
2007-04,4.928,
2007-07,4.802,
2007-10,4.847,
2008-01,4.808,
2008-04,5.075,
2008-07,4.862,
2008-10,4.857,
2009-01,5.098,
2009-04,5.514,
2009-07,6.041,
2009-10,6.368,
2010-01,6.450,
2010-04,6.336,
2010-07,6.335,
2010-10,6.379,
2011-01,6.239,
2011-04,6.057,
2011-07,6.035,
2011-10,6.030,
2012-01,6.682,
2012-04,6.604,
2012-07,6.534,
2012-10,6.620,
2013-01,6.387,
2013-04,6.276,
2013-07,6.058,
2013-10,5.938,
2014-01,5.792,
2014-04,5.638,
2014-07,5.751,
