"",BBK01.OEXK05M,BBK01.OEXK05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:26,
2002-01,0.022,
2002-04,0.019,
2002-07,0.016,
2002-10,0.016,
2003-01,0.013,
2003-04,0.015,
2003-07,0.017,
2003-10,0.016,
2004-01,0.015,
2004-04,0.019,
2004-07,0.026,
2004-10,0.025,
2005-01,0.026,
2005-04,0.013,
2005-07,0.014,
2005-10,0.014,
2006-01,0.014,
2006-04,0.015,
2006-07,0.016,
2006-10,0.018,
2007-01,0.018,
2007-04,0.019,
2007-07,0.034,
2007-10,0.034,
2008-01,0.040,
2008-04,0.039,
2008-07,0.040,
2008-10,0.039,
2009-01,0.040,
2009-04,0.050,
2009-07,0.052,
2009-10,0.053,
2010-01,0.049,
2010-04,0.051,
2010-07,0.051,
2010-10,0.054,
2011-01,0.054,
2011-04,0.053,
2011-07,0.052,
2011-10,0.051,
2012-01,0.051,
2012-04,0.050,
2012-07,0.049,
2012-10,0.042,
2013-01,0.038,
2013-04,0.037,
2013-07,0.038,
2013-10,0.040,
2014-01,0.041,
2014-04,0.038,
2014-07,0.038,
