"",BBK01.OEYB18G,BBK01.OEYB18G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:28,
2002-01,1.567,
2002-04,1.574,
2002-07,1.675,
2002-10,1.633,
2003-01,1.543,
2003-04,1.556,
2003-07,1.790,
2003-10,1.692,
2004-01,1.674,
2004-04,1.767,
2004-07,1.811,
2004-10,1.796,
2005-01,1.773,
2005-04,1.808,
2005-07,2.348,
2005-10,2.270,
2006-01,2.182,
2006-04,2.111,
2006-07,2.214,
2006-10,2.155,
2007-01,2.182,
2007-04,1.955,
2007-07,1.997,
2007-10,1.925,
2008-01,1.977,
2008-04,2.128,
2008-07,1.934,
2008-10,2.334,
2009-01,2.704,
2009-04,2.876,
2009-07,2.863,
2009-10,2.949,
2010-01,3.175,
2010-04,3.427,
2010-07,3.503,
2010-10,3.399,
2011-01,3.405,
2011-04,3.449,
2011-07,3.327,
2011-10,3.328,
2012-01,3.105,
2012-04,3.180,
2012-07,3.035,
2012-10,2.934,
2013-01,2.816,
2013-04,2.720,
2013-07,2.662,
2013-10,2.200,
2014-01,2.145,
2014-04,2.288,
2014-07,1.901,
