"",BBK01.OEAG02H,BBK01.OEAG02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:13,
2002-01,5.821,
2002-04,5.362,
2002-07,5.109,
2002-10,5.311,
2003-01,4.962,
2003-04,5.028,
2003-07,4.614,
2003-10,5.857,
2004-01,8.111,
2004-04,5.470,
2004-07,6.184,
2004-10,4.759,
2005-01,4.675,
2005-04,4.568,
2005-07,3.899,
2005-10,3.164,
2006-01,2.698,
2006-04,2.644,
2006-07,2.636,
2006-10,2.631,
2007-01,2.356,
2007-04,2.351,
2007-07,1.945,
2007-10,0.908,
2008-01,0.805,
2008-04,0.811,
2008-07,0.752,
2008-10,0.968,
2009-01,0.950,
2009-04,0.663,
2009-07,0.762,
2009-10,0.772,
2010-01,0.757,
2010-04,0.702,
2010-07,0.925,
2010-10,64.205,
2011-01,39.063,
2011-04,23.454,
2011-07,12.950,
2011-10,9.462,
2012-01,6.970,
2012-04,5.182,
2012-07,4.701,
2012-10,3.081,
2013-01,1.655,
2013-04,0.619,
2013-07,0.619,
2013-10,0.825,
2014-01,0.650,
2014-04,0.587,
2014-07,0.647,
