"",BBK01.OEAH20I,BBK01.OEAH20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:27,
2002-01,0.055,
2002-04,0.141,
2002-07,0.157,
2002-10,0.254,
2003-01,0.247,
2003-04,0.208,
2003-07,0.186,
2003-10,0.189,
2004-01,0.175,
2004-04,0.165,
2004-07,0.136,
2004-10,0.047,
2005-01,0.126,
2005-04,0.117,
2005-07,0.113,
2005-10,0.114,
2006-01,0.135,
2006-04,0.142,
2006-07,0.165,
2006-10,0.177,
2007-01,0.222,
2007-04,0.299,
2007-07,0.331,
2007-10,0.422,
2008-01,0.422,
2008-04,0.446,
2008-07,0.591,
2008-10,0.659,
2009-01,0.880,
2009-04,0.902,
2009-07,0.917,
2009-10,0.855,
2010-01,0.588,
2010-04,0.692,
2010-07,0.604,
2010-10,0.638,
2011-01,0.568,
2011-04,0.719,
2011-07,0.845,
2011-10,1.044,
2012-01,1.257,
2012-04,1.252,
2012-07,1.395,
2012-10,1.520,
2013-01,1.511,
2013-04,1.501,
2013-07,1.467,
2013-10,1.315,
2014-01,1.319,
2014-04,1.265,
2014-07,1.193,
