"",BBDE1.M.DE.Y.AEP1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AEP1.A2P300000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, euro-area countries / At current prices, flows / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:07,
2010-01,90.3,
2010-02,91.8,
2010-03,95.5,
2010-04,99.3,
2010-05,98.5,
2010-06,97.5,
2010-07,100.7,
2010-08,103.0,
2010-09,102.9,
2010-10,102.9,
2010-11,105.9,
2010-12,109.0,
2011-01,112.6,
2011-02,113.3,
2011-03,112.7,
2011-04,114.5,
2011-05,109.5,
2011-06,105.3,
2011-07,109.6,
2011-08,112.9,
2011-09,107.8,
2011-10,108.0,
2011-11,104.2,
2011-12,103.9,
2012-01,104.2,
2012-02,101.6,
2012-03,102.1,
2012-04,98.8,
2012-05,101.7,
2012-06,98.2,
2012-07,100.7,
2012-08,99.9,
2012-09,96.8,
2012-10,99.2,
2012-11,96.9,
2012-12,101.1,
2013-01,98.2,
2013-02,97.0,
2013-03,100.0,
2013-04,98.7,
2013-05,99.0,
2013-06,101.7,
2013-07,98.5,
2013-08,98.2,
2013-09,99.6,
2013-10,101.2,
2013-11,102.2,
2013-12,100.4,
2014-01,103.4,
2014-02,103.0,
2014-03,100.7,
2014-04,103.9,
2014-05,98.8,
2014-06,98.9,
2014-07,102.8,
2014-08,99.5,
2014-09,105.6,
2014-10,107.1,
2014-11,107.4,
2014-12,108.2,Provisional value
