"",BBSF2.M.1.S.00000.GEL01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEL01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Money market funds / Sales receipts / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:51:39,
2009-09,0,
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,0,
2010-01,0,
2010-02,-,Nothing exists
2010-03,0,
2010-04,-,Nothing exists
2010-05,65,
2010-06,0,
2010-07,62,
2010-08,0,
2010-09,0,
2010-10,0,
2010-11,0,
2010-12,7,
2011-01,5,
2011-02,0,
2011-03,71,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,-,Nothing exists
2011-07,105,
2011-08,-,Nothing exists
2011-09,-,Nothing exists
2011-10,0,
2011-11,111,
2011-12,1,
2012-01,0,
2012-02,0,
2012-03,17,
2012-04,0,
2012-05,-,Nothing exists
2012-06,44,
2012-07,125,
2012-08,0,
2012-09,-,Nothing exists
2012-10,689,
2012-11,58,
2012-12,1987,
2013-01,200,
2013-02,0,
2013-03,10,
2013-04,737,
2013-05,0,
2013-06,16,
2013-07,3,
2013-08,0,
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,35,
2014-01,0,
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,-,Nothing exists
2014-06,0,
2014-07,0,
2014-08,-,Nothing exists
2014-09,0,
2014-10,0,
2014-11,0,
