"",BBDE1.M.DE.Y.AEA1.P2XF02000.B2.C.I10.A,BBDE1.M.DE.Y.AEA1.P2XF02000.B2.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Structural engineering work / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:17,
1991-01,176.5,
1991-02,171.2,
1991-03,175.6,
1991-04,176.1,
1991-05,186.0,
1991-06,183.3,
1991-07,183.2,
1991-08,191.0,
1991-09,204.9,
1991-10,191.5,
1991-11,192.8,
1991-12,183.8,
1992-01,191.0,
1992-02,218.2,
1992-03,191.2,
1992-04,190.9,
1992-05,186.7,
1992-06,204.7,
1992-07,189.3,
1992-08,191.0,
1992-09,192.5,
1992-10,193.4,
1992-11,200.0,
1992-12,227.1,
1993-01,191.7,
1993-02,195.8,
1993-03,202.1,
1993-04,200.9,
1993-05,201.9,
1993-06,200.8,
1993-07,215.2,
1993-08,210.7,
1993-09,212.1,
1993-10,233.0,
1993-11,229.2,
1993-12,229.1,
1994-01,244.7,
1994-02,224.5,
1994-03,240.4,
1994-04,234.4,
1994-05,232.9,
1994-06,225.5,
1994-07,220.4,
1994-08,222.9,
1994-09,224.8,
1994-10,230.1,
1994-11,248.9,
1994-12,251.0,
1995-01,254.5,
1995-02,227.7,
1995-03,224.2,
1995-04,227.8,
1995-05,216.9,
1995-06,220.1,
1995-07,220.3,
1995-08,219.6,
1995-09,222.4,
1995-10,217.7,
1995-11,205.5,
1995-12,207.2,
1996-01,204.6,
1996-02,213.1,
1996-03,207.8,
1996-04,199.8,
1996-05,209.3,
1996-06,215.5,
1996-07,210.8,
1996-08,216.1,
1996-09,209.8,
1996-10,202.9,
1996-11,198.4,
1996-12,207.4,
1997-01,190.4,
1997-02,197.9,
1997-03,190.0,
1997-04,175.3,
1997-05,194.6,
1997-06,183.5,
1997-07,183.4,
1997-08,189.7,
1997-09,187.5,
1997-10,186.9,
1997-11,171.7,
1997-12,186.7,
1998-01,178.2,
1998-02,191.2,
1998-03,184.4,
1998-04,182.8,
1998-05,181.6,
1998-06,177.6,
1998-07,186.7,
1998-08,180.4,
1998-09,180.8,
1998-10,172.3,
1998-11,178.8,
1998-12,179.2,
1999-01,187.3,
1999-02,193.8,
1999-03,183.8,
1999-04,186.9,
1999-05,189.2,
1999-06,185.7,
1999-07,182.1,
1999-08,178.6,
1999-09,175.2,
1999-10,180.8,
1999-11,164.7,
1999-12,158.5,
2000-01,173.8,
2000-02,162.2,
2000-03,175.1,
2000-04,170.0,
2000-05,171.4,
2000-06,160.4,
2000-07,161.3,
2000-08,148.0,
2000-09,162.2,
2000-10,152.8,
2000-11,153.2,
2000-12,159.3,
2001-01,164.4,
2001-02,145.8,
2001-03,153.5,
2001-04,160.0,
2001-05,158.9,
2001-06,162.3,
2001-07,145.8,
2001-08,148.6,
2001-09,146.1,
2001-10,141.6,
2001-11,143.6,
2001-12,132.1,
2002-01,134.4,
2002-02,141.3,
2002-03,165.5,
2002-04,137.0,
2002-05,130.7,
2002-06,134.2,
2002-07,129.1,
2002-08,124.1,
2002-09,129.5,
2002-10,114.6,
2002-11,123.4,
2002-12,135.7,
2003-01,121.6,
2003-02,120.2,
2003-03,117.1,
2003-04,118.9,
2003-05,111.6,
2003-06,112.3,
2003-07,118.9,
2003-08,113.8,
2003-09,115.9,
2003-10,115.7,
2003-11,118.3,
2003-12,111.5,
2004-01,118.6,
2004-02,138.6,
2004-03,104.2,
2004-04,107.4,
2004-05,99.5,
2004-06,106.6,
2004-07,106.1,
2004-08,104.8,
2004-09,104.1,
2004-10,106.7,
2004-11,98.1,
2004-12,111.0,
2005-01,95.4,
2005-02,97.9,
2005-03,110.1,
2005-04,95.9,
2005-05,102.4,
